nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
AL01,2014,,,,,95.8
AL01,2015,,,,,100
AL01,2016,,,,,103.7
AL01,2017,,,,,106.2
AL01,2018,,,,,108.9
AL01,2019,,,,,111.5
AL01,2020,,,,,105.9
AL01,2021,,,,,114.4
AL02,2014,,,,,95.3
AL02,2015,,,,,100
AL02,2016,,,,,103.1
AL02,2017,,,,,110.5
AL02,2018,,,,,116
AL02,2019,,,,,118.9
AL02,2020,,,,,116.4
AL02,2021,,,,,127.8
AL03,2014,,,,,103.2
AL03,2015,,,,,100
AL03,2016,,,,,102.9
AL03,2017,,,,,102.5
AL03,2018,,,,,106.4
AL03,2019,,,,,108.7
AL03,2020,,,,,105.9
AL03,2021,,,,,111.6
AT11,2013,4.3,69.9,15.8,0.89,
AT11,2014,4.8,69.8,25.7,,97.2
AT11,2015,5.2,69.6,28.5,0.99,100
AT11,2016,5.7,69.8,27.9,,101
AT11,2017,5.2,71.1,28,0.85,104
AT11,2018,4.2,71.8,28.4,,105.5
AT11,2019,3.6,71.9,30.7,0.87,106.4
AT11,2020,4.2,72,33.1,,100.3
AT11,2021,5.1,71.8,31.4,0.84,105.3
AT11,2022,4.3,73.3,31.4,,110.1
AT11,2023,5.2,73.2,33.2,0.78,108.5
AT11,2024,4.9,73.5,34.7,,
AT12,2013,5,72.4,17.6,1.6,
AT12,2014,5.1,72.8,29.1,,99.1
AT12,2015,5.2,73.1,30.3,1.74,100
AT12,2016,5.2,73.1,30.2,,102.5
AT12,2017,4.8,74.3,32,1.8,105.8
AT12,2018,3.8,74.4,31.9,,108.3
AT12,2019,4,74.4,32.4,1.8,111.6
AT12,2020,4.2,74.1,33,,103.2
AT12,2021,5.1,73.9,33.9,1.78,107.4
AT12,2022,4,74.7,34.1,,111.6
AT12,2023,4.3,75.3,36,1.82,109.9
AT12,2024,4.2,75.6,38,,
AT13,2013,9.3,66,30.6,3.54,
AT13,2014,10.2,64.7,39.1,,99.8
AT13,2015,10.6,64.6,39.3,3.63,100
AT13,2016,11.3,64.9,39.9,,102.7
AT13,2017,10.4,65.3,42.1,3.6,102.8
AT13,2018,10,66.8,42.3,,106.1
AT13,2019,9.3,67.1,42.9,3.67,106.9
AT13,2020,10.7,65.5,42.7,,100.9
AT13,2021,12.1,66.2,44.5,4.04,106
