nuts2_id,year,gdp_mio_eur,gdp_eur,gdp_pc,log_gdp_pc,gdp_pc_growth,gdp_pc_pps,log_gdp_pc_pps,gdp_pc_pps_growth,gdp_volume_index,gdp_pc_real,log_gdp_pc_real,gdp_pc_real_growth
AL01,2008,,,,,,5000,8.517193191,,86.7,2562.306938,7.848663279,
AL01,2009,,,,,,5300,8.5754621,5.826890812,90.2,2665.744934,7.888238823,3.957554328
AL01,2010,,,,,,6000,8.699514748,12.40526487,96.3,2846.022585,7.953677714,6.543889174
AL01,2011,,,,,,6100,8.71604405,1.652930195,95.4,2819.424243,7.944287974,-0.938974035
AL01,2012,,,,,,6300,8.748304912,3.226086222,97.5,2881.487041,7.966061773,2.177379955
AL01,2013,,,,,,6200,8.732304571,-1.600034135,97,2866.710184,7.960920374,-0.51413995
AL01,2014,2290.45,2290450000,,,,6400,8.764053269,3.174869831,95.9,2834.2011,7.949515377,-1.140499661
AL01,2015,2418.75,2418750000,,,,6800,8.824677891,6.062462182,100,2955.371324,7.991379581,4.18642041
AL01,2016,2549.18,2549180000,3067.675434,8.028675366,,6900,8.839276691,1.459879942,103.8,3067.675434,8.028675366,3.729578474
AL01,2017,2707.01,2707010000,3273.669011,8.093666657,6.499129044,7200,8.881836305,4.255961442,106.3,3141.559717,8.052474681,2.379931462
AL01,2018,2954.85,2954850000,3604.385497,8.189906577,9.623992009,7400,8.909235279,2.739897419,109,3221.354743,8.077557278,2.508259688
AL01,2019,3165.02,3165020000,3889.387263,8.266006908,7.610033141,7700,8.948975608,3.974032865,111.2,3286.372912,8.097539777,1.998249959
AL01,2020,2996.28,2996280000,3723.525486,8.22242621,-4.358069832,7400,8.909235279,-3.974032865,105.2,3109.050633,8.042072696,-5.546708151
AL01,2021,3390.4,3390400000,4248.861151,8.354406262,13.19800518,8200,9.011889433,10.26541541,114.4,3380.944795,8.125910474,8.383777864
AL02,2008,,,,,,8600,9.059517482,,85.9,3714.872113,8.220099532,
AL02,2009,,,,,,8900,9.093806556,3.428907348,89.5,3870.55942,8.261154328,4.105479629
AL02,2010,,,,,,9300,9.137769679,4.396312342,91.4,3952.72772,8.282161182,2.100685318
AL02,2011,,,,,,9300,9.137769679,0,90.6,3918.130541,8.273369916,-0.8791265411
AL02,2012,,,,,,9300,9.137769679,0,91.5,3957.052368,8.283254675,0.9884759233
AL02,2013,,,,,,9000,9.104979856,-3.278982282,92.9,4017.597431,8.298439349,1.518467354
AL02,2014,4535.08,4535080000,,,,9500,9.159047078,5.406722127,95.3,4121.388969,8.323945514,2.550616484
AL02,2015,4837.09,4837090000,,,,10100,9.220290703,6.124362524,100,4324.647396,8.372085889,4.814037533
AL02,2016,5050.74,5050740000,4467.36076,8.404553079,,10000,9.210340372,-0.9950330853,103.3,4467.36076,8.404553079,3.246719014
AL02,2017,5640.06,5640060000,4920.732553,8.501212691,9.665961201,10700,9.27799902,6.765864847,110.6,4783.06002,8.472835792,6.828271296
AL02,2018,6327.54,6327540000,5442.839153,8.602056107,10.08434155,11100,9.314700387,3.670136685,116,5016.59098,8.520505894,4.767010202
AL02,2019,6789.07,6789070000,5801.919767,8.665944136,6.388802929,11400,9.341368634,2.666824708,118.6,5129.031812,8.54267219,2.216629546
AL02,2020,6628.26,6628260000,5635.125485,8.636774695,-2.916944107,11100,9.314700387,-2.666824708,115.6,4999.29239,8.517051659,-2.562053033
AL02,2021,7646.74,7646740000,6488.894169,8.777847405,14.10727102,12300,9.417354541,10.26541541,127.8,5526.899372,8.617382245,10.03305857
AL03,2008,,,,,,5300,8.5754621,,83.5,2767.174211,7.925581938,
AL03,2009,,,,,,5500,8.612503371,3.704127168,84.6,2803.628003,7.938669573,1.308763476
AL03,2010,,,,,,6200,8.732304571,11.98011998,87.8,2909.675398,7.975796807,3.712723403
AL03,2011,,,,,,7100,8.867850063,13.5545492,97.7,3237.759526,8.082636865,10.68400584
AL03,2012,,,,,,7400,8.909235279,4.138521616,99.2,3287.469242,8.09787332,1.523645524
AL03,2013,,,,,,7400,8.909235279,0,100.5,3330.550996,8.110893034,1.301971321
AL03,2014,3143.06,3143060000,,,,7900,8.974618038,6.538275926,103.2,3420.028486,8.137404159,2.651112555
AL03,2015,3008.27,3008270000,,,,7700,8.948975608,-2.564243061,100,3313.981091,8.105905492,-3.149866706
AL03,2016,3119.93,3119930000,3413.400523,8.135464294,,7700,8.948975608,0,103,3413.400523,8.135464294,2.955880224
AL03,2017,3211.98,3211980000,3555.025766,8.17611759,4.065329581,7800,8.961879013,1.290340484,102.6,3400.144599,8.131573239,-0.3891055493
AL03,2018,3545.66,3545660000,3992.918815,8.292277775,11.6160185,8200,9.011889433,5.001042057,106.4,3526.07588,8.167940883,3.636764417
AL03,2019,3800.1,3800100000,4325.535812,8.372291299,8.001352369,8600,9.059517482,4.762804899,108.4,3592.355502,8.186563395,1.86225121
AL03,2020,3685.89,3685890000,4261.016432,8.35726301,-1.502828894,8400,9.035986985,-2.353049741,105.3,3489.622088,8.157548725,-2.901466987
AL03,2021,4120.24,4120240000,4828.306289,8.48225102,12.49880105,9300,9.137769679,10.17826943,111.6,3698.402897,8.215656356,5.810763081
AT11,2000,,,,,,16200,9.692766521,,79.4,22455.48374,10.01929013,
AT11,2001,,,,,,16300,9.698920387,0.6153865574,80.2,22681.73547,10.02931527,1.002514662
AT11,2002,,,,,,17200,9.752664663,5.374427601,82,23190.80185,10.05151101,2.219573239
AT11,2003,,,,,,17600,9.775654181,2.298951822,81.1,22936.26866,10.04047472,-1.103628614
AT11,2004,,,,,,18600,9.83091686,5.526267868,84.5,23897.83849,10.08154329,4.106857324
AT11,2005,,,,,,18600,9.83091686,0,84.4,23869.55703,10.08035916,-0.1184132761
AT11,2006,,,,,,19300,9.867860375,3.694351519,86,24322.06048,10.09913906,1.877989465
AT11,2007,,,,,,20200,9.913437883,4.55775085,89,25170.50445,10.13342813,3.428907348
AT11,2008,,,,,,20100,9.908475094,-0.4962789342,88.2,24944.25272,10.12439872,-0.9029406719
AT11,2009,,,,,,20100,9.908475094,0,88.1,24915.97126,10.12326429,-0.1134430071
AT11,2010,,,,,,21100,9.957028319,4.855322542,90.4,25566.44497,10.14903603,2.577173446
AT11,2011,,,,,,22000,9.998797732,4.176941288,93,26301.76307,10.17739125,2.835522576
AT11,2012,,,,,,23000,10.04324949,4.445176257,94.2,26641.14066,10.19021194,1.282068843
AT11,2013,,,,,,23400,10.0604913,1.724180643,95.3,26952.23678,10.20182157,1.160962908
AT11,2014,7647.68,7647680000,,,,23800,10.07744086,1.694955831,97,27433.0217,10.21950274,1.768116784
