nuts2_id,year,country
AL01,1986,AL
AL01,1987,AL
AL01,1988,AL
AL01,1989,AL
AL01,1990,AL
AL01,1991,AL
AL01,1992,AL
AL01,1993,AL
AL01,1994,AL
AL01,1995,AL
AL01,1996,AL
AL01,1997,AL
AL01,1998,AL
AL01,1999,AL
AL01,2000,AL
AL01,2001,AL
AL01,2002,AL
AL01,2003,AL
AL01,2004,AL
AL01,2005,AL
AL01,2006,AL
AL01,2007,AL
AL01,2008,AL
AL01,2009,AL
AL01,2010,AL
AL01,2011,AL
AL01,2012,AL
AL01,2013,AL
AL01,2014,AL
AL01,2015,AL
AL01,2016,AL
AL01,2017,AL
AL01,2018,AL
AL01,2019,AL
AL01,2020,AL
AL01,2021,AL
AL01,2022,AL
AL01,2023,AL
AL01,2024,AL
AL01,2025,AL
AL02,1986,AL
AL02,1987,AL
AL02,1988,AL
AL02,1989,AL
AL02,1990,AL
AL02,1991,AL
AL02,1992,AL
AL02,1993,AL
AL02,1994,AL
AL02,1995,AL
AL02,1996,AL
AL02,1997,AL
AL02,1998,AL
AL02,1999,AL
AL02,2000,AL
AL02,2001,AL
AL02,2002,AL
AL02,2003,AL
AL02,2004,AL
AL02,2005,AL
AL02,2006,AL
AL02,2007,AL
AL02,2008,AL
AL02,2009,AL
AL02,2010,AL
AL02,2011,AL
AL02,2012,AL
AL02,2013,AL
AL02,2014,AL
AL02,2015,AL
AL02,2016,AL
AL02,2017,AL
AL02,2018,AL
AL02,2019,AL
AL02,2020,AL
AL02,2021,AL
AL02,2022,AL
AL02,2023,AL
AL02,2024,AL
AL02,2025,AL
AL03,1986,AL
AL03,1987,AL
AL03,1988,AL
AL03,1989,AL
AL03,1990,AL
AL03,1991,AL
AL03,1992,AL
AL03,1993,AL
AL03,1994,AL
AL03,1995,AL
AL03,1996,AL
AL03,1997,AL
AL03,1998,AL
AL03,1999,AL
AL03,2000,AL
AL03,2001,AL
AL03,2002,AL
AL03,2003,AL
AL03,2004,AL
AL03,2005,AL
AL03,2006,AL
AL03,2007,AL
AL03,2008,AL
AL03,2009,AL
AL03,2010,AL
AL03,2011,AL
AL03,2012,AL
AL03,2013,AL
AL03,2014,AL
AL03,2015,AL
AL03,2016,AL
AL03,2017,AL
AL03,2018,AL
AL03,2019,AL
AL03,2020,AL
AL03,2021,AL
AL03,2022,AL
AL03,2023,AL
AL03,2024,AL
AL03,2025,AL
AT11,1986,AT
AT11,1987,AT
AT11,1988,AT
AT11,1989,AT
AT11,1990,AT
AT11,1991,AT
AT11,1992,AT
AT11,1993,AT
AT11,1994,AT
AT11,1995,AT
AT11,1996,AT
AT11,1997,AT
AT11,1998,AT
AT11,1999,AT
AT11,2000,AT
AT11,2001,AT
AT11,2002,AT
AT11,2003,AT
AT11,2004,AT
AT11,2005,AT
AT11,2006,AT
AT11,2007,AT
AT11,2008,AT
AT11,2009,AT
AT11,2010,AT
AT11,2011,AT
AT11,2012,AT
AT11,2013,AT
AT11,2014,AT
AT11,2015,AT
AT11,2016,AT
AT11,2017,AT
AT11,2018,AT
AT11,2019,AT
AT11,2020,AT
AT11,2021,AT
AT11,2022,AT
AT11,2023,AT
AT11,2024,AT
AT11,2025,AT
AT12,1986,AT
AT12,1987,AT
AT12,1988,AT
AT12,1989,AT
AT12,1990,AT
AT12,1991,AT
AT12,1992,AT
AT12,1993,AT
AT12,1994,AT
AT12,1995,AT
AT12,1996,AT
AT12,1997,AT
AT12,1998,AT
AT12,1999,AT
AT12,2000,AT
AT12,2001,AT
AT12,2002,AT
AT12,2003,AT
AT12,2004,AT
AT12,2005,AT
AT12,2006,AT
AT12,2007,AT
AT12,2008,AT
AT12,2009,AT
AT12,2010,AT
AT12,2011,AT
AT12,2012,AT
AT12,2013,AT
AT12,2014,AT
AT12,2015,AT
AT12,2016,AT
AT12,2017,AT
AT12,2018,AT
AT12,2019,AT
AT12,2020,AT
AT12,2021,AT
AT12,2022,AT
AT12,2023,AT
AT12,2024,AT
AT12,2025,AT
AT13,1986,AT
AT13,1987,AT
AT13,1988,AT
AT13,1989,AT
AT13,1990,AT
AT13,1991,AT
AT13,1992,AT
AT13,1993,AT
AT13,1994,AT
AT13,1995,AT
AT13,1996,AT
AT13,1997,AT
AT13,1998,AT
AT13,1999,AT
AT13,2000,AT
AT13,2001,AT
AT13,2002,AT
AT13,2003,AT
AT13,2004,AT
AT13,2005,AT
AT13,2006,AT
AT13,2007,AT
AT13,2008,AT
AT13,2009,AT
AT13,2010,AT
AT13,2011,AT
AT13,2012,AT
AT13,2013,AT
AT13,2014,AT
AT13,2015,AT
AT13,2016,AT
AT13,2017,AT
AT13,2018,AT
AT13,2019,AT
AT13,2020,AT
AT13,2021,AT
AT13,2022,AT
AT13,2023,AT
AT13,2024,AT
AT13,2025,AT
AT21,1986,AT
AT21,1987,AT
AT21,1988,AT
AT21,1989,AT
AT21,1990,AT
AT21,1991,AT
AT21,1992,AT
AT21,1993,AT
AT21,1994,AT
AT21,1995,AT
AT21,1996,AT
AT21,1997,AT
AT21,1998,AT
AT21,1999,AT
AT21,2000,AT
AT21,2001,AT
AT21,2002,AT
AT21,2003,AT
AT21,2004,AT
AT21,2005,AT
AT21,2006,AT
AT21,2007,AT
AT21,2008,AT
AT21,2009,AT
AT21,2010,AT
AT21,2011,AT
AT21,2012,AT
AT21,2013,AT
AT21,2014,AT
AT21,2015,AT
AT21,2016,AT
AT21,2017,AT
AT21,2018,AT
AT21,2019,AT
AT21,2020,AT
AT21,2021,AT
AT21,2022,AT
AT21,2023,AT
AT21,2024,AT
AT21,2025,AT
AT22,1986,AT
AT22,1987,AT
AT22,1988,AT
AT22,1989,AT
AT22,1990,AT
AT22,1991,AT
AT22,1992,AT
AT22,1993,AT
AT22,1994,AT
AT22,1995,AT
AT22,1996,AT
AT22,1997,AT
AT22,1998,AT
AT22,1999,AT
AT22,2000,AT
AT22,2001,AT
AT22,2002,AT
AT22,2003,AT
AT22,2004,AT
AT22,2005,AT
AT22,2006,AT
AT22,2007,AT
AT22,2008,AT
AT22,2009,AT
AT22,2010,AT
AT22,2011,AT
AT22,2012,AT
AT22,2013,AT
AT22,2014,AT
AT22,2015,AT
AT22,2016,AT
AT22,2017,AT
AT22,2018,AT
AT22,2019,AT
AT22,2020,AT
AT22,2021,AT
AT22,2022,AT
AT22,2023,AT
AT22,2024,AT
AT22,2025,AT
AT31,1986,AT
AT31,1987,AT
AT31,1988,AT
AT31,1989,AT
AT31,1990,AT
AT31,1991,AT
AT31,1992,AT
AT31,1993,AT
AT31,1994,AT
AT31,1995,AT
AT31,1996,AT
AT31,1997,AT
AT31,1998,AT
AT31,1999,AT
AT31,2000,AT
AT31,2001,AT
AT31,2002,AT
AT31,2003,AT
AT31,2004,AT
AT31,2005,AT
AT31,2006,AT
AT31,2007,AT
AT31,2008,AT
AT31,2009,AT
AT31,2010,AT
AT31,2011,AT
AT31,2012,AT
AT31,2013,AT
AT31,2014,AT
AT31,2015,AT
AT31,2016,AT
AT31,2017,AT
AT31,2018,AT
AT31,2019,AT
AT31,2020,AT
AT31,2021,AT
AT31,2022,AT
AT31,2023,AT
AT31,2024,AT
AT31,2025,AT
AT32,1986,AT
AT32,1987,AT
AT32,1988,AT
AT32,1989,AT
AT32,1990,AT
AT32,1991,AT
AT32,1992,AT
AT32,1993,AT
AT32,1994,AT
AT32,1995,AT
AT32,1996,AT
AT32,1997,AT
AT32,1998,AT
AT32,1999,AT
AT32,2000,AT
AT32,2001,AT
AT32,2002,AT
AT32,2003,AT
AT32,2004,AT
AT32,2005,AT
