nuts2_id,year,population,erdf_eur,erdf_eur_pc,erdf_eur_pc_l1,erdf_eur_pc_l2,erdf_eur_pc_l3
AL01,1986,,0,,,,
AL01,1987,,0,,,,
AL01,1988,,0,,,,
AL01,1989,,0,,,,
AL01,1990,,0,,,,
AL01,1991,,0,,,,
AL01,1992,,0,,,,
AL01,1993,,0,,,,
AL01,1994,,0,,,,
AL01,1995,,0,,,,
AL01,1996,,0,,,,
AL01,1997,,0,,,,
AL01,1998,,0,,,,
AL01,1999,,0,,,,
AL01,2000,,0,,,,
AL01,2001,,0,,,,
AL01,2002,,0,,,,
AL01,2003,,0,,,,
AL01,2004,,0,,,,
AL01,2005,,0,,,,
AL01,2006,,0,,,,
AL01,2007,,0,,,,
AL01,2008,,0,,,,
AL01,2009,,0,,,,
AL01,2010,,0,,,,
AL01,2011,,0,,,,
AL01,2012,,0,,,,
AL01,2013,,0,,,,
AL01,2014,,0,,,,
AL01,2015,,0,,,,
AL01,2016,830981,0,0,,,
AL01,2017,826904,0,0,0,,
AL01,2018,819793,0,0,0,0,
AL01,2019,813758,0,0,0,0,0
AL01,2020,804689,0,0,0,0,0
AL01,2021,797955,0,0,0,0,0
AL01,2022,783970,0,0,0,0,0
AL01,2023,771020,0,0,0,0,0
AL01,2024,,0,,0,0,0
AL01,2025,633710,0,0,,0,0
AL02,1986,,0,,,,
AL02,1987,,0,,,,
AL02,1988,,0,,,,
AL02,1989,,0,,,,
AL02,1990,,0,,,,
AL02,1991,,0,,,,
AL02,1992,,0,,,,
AL02,1993,,0,,,,
AL02,1994,,0,,,,
AL02,1995,,0,,,,
AL02,1996,,0,,,,
AL02,1997,,0,,,,
AL02,1998,,0,,,,
AL02,1999,,0,,,,
AL02,2000,,0,,,,
AL02,2001,,0,,,,
AL02,2002,,0,,,,
AL02,2003,,0,,,,
AL02,2004,,0,,,,
AL02,2005,,0,,,,
AL02,2006,,0,,,,
AL02,2007,,0,,,,
AL02,2008,,0,,,,
AL02,2009,,0,,,,
AL02,2010,,0,,,,
AL02,2011,,0,,,,
AL02,2012,,0,,,,
AL02,2013,,0,,,,
AL02,2014,,0,,,,
AL02,2015,,0,,,,
AL02,2016,1130587,0,0,,,
AL02,2017,1146183,0,0,0,,
AL02,2018,1162544,0,0,0,0,
AL02,2019,1170142,0,0,0,0,0
AL02,2020,1176240,0,0,0,0,0
AL02,2021,1178435,0,0,0,0,0
AL02,2022,1178623,0,0,0,0,0
AL02,2023,1177987,0,0,0,0,0
AL02,2024,,0,,0,0,0
AL02,2025,986944,0,0,,0,0
AL03,1986,,0,,,,
AL03,1987,,0,,,,
AL03,1988,,0,,,,
AL03,1989,,0,,,,
AL03,1990,,0,,,,
AL03,1991,,0,,,,
AL03,1992,,0,,,,
AL03,1993,,0,,,,
AL03,1994,,0,,,,
AL03,1995,,0,,,,
AL03,1996,,0,,,,
AL03,1997,,0,,,,
AL03,1998,,0,,,,
AL03,1999,,0,,,,
AL03,2000,,0,,,,
AL03,2001,,0,,,,
AL03,2002,,0,,,,
AL03,2003,,0,,,,
AL03,2004,,0,,,,
AL03,2005,,0,,,,
AL03,2006,,0,,,,
AL03,2007,,0,,,,
AL03,2008,,0,,,,
AL03,2009,,0,,,,
AL03,2010,,0,,,,
AL03,2011,,0,,,,
AL03,2012,,0,,,,
AL03,2013,,0,,,,
AL03,2014,,0,,,,
AL03,2015,,0,,,,
AL03,2016,914024,0,0,,,
AL03,2017,903504,0,0,0,,
AL03,2018,887987,0,0,0,0,
AL03,2019,878527,0,0,0,0,0
AL03,2020,865026,0,0,0,0,0
AL03,2021,853351,0,0,0,0,0
AL03,2022,830999,0,0,0,0,0
AL03,2023,812778,0,0,0,0,0
