nuts2_id,country,erdf_eur_pc_cum_2014_2020,erdf_eur_pc_cum_2015_2020
AL01,AL,0,0
AL02,AL,0,0
AL03,AL,0,0
AT11,AT,58.030028,58.030028
AT12,AT,21.4268906,21.4268906
AT13,AT,17.82955321,17.82955321
AT21,AT,34.49421355,34.49421355
AT22,AT,24.71278367,24.71278367
AT31,AT,22.69833453,22.69833453
AT32,AT,17.940093,17.940093
AT33,AT,19.3991771,19.3991771
AT34,AT,17.57747936,17.57747936
BE10,BE,22.13734455,22.13734455
BE21,BE,16.72126143,16.72126143
BE22,BE,19.16350407,19.16350407
BE23,BE,15.92480728,15.92480728
BE24,BE,15.7269437,15.7269437
BE25,BE,17.28646714,17.28646714
BE31,BE,50.18188863,50.18188863
BE32,BE,72.4321152,72.4321152
BE33,BE,55.76428154,55.76428154
BE34,BE,56.16983026,56.16983026
BE35,BE,55.88001662,55.88001662
BG31,BG,284.4435919,284.4435919
BG32,BG,295.7477696,295.7477696
BG33,BG,301.2344046,301.2344046
BG34,BG,290.5704978,290.5704978
BG41,BG,281.9747495,281.9747495
BG42,BG,292.14571,292.14571
CH01,CH,0,0
CH02,CH,0,0
CH03,CH,0,0
CH04,CH,0,0
CH05,CH,0,0
CH06,CH,0,0
CH07,CH,0,0
CY00,CY,193.9061923,193.9061923
CZ01,CZ,232.518177,232.518177
CZ02,CZ,699.1157628,699.1157628
CZ03,CZ,715.5878266,715.5878266
CZ04,CZ,648.3641791,648.3641791
CZ05,CZ,716.349328,716.349328
CZ06,CZ,722.5182412,722.5182412
CZ07,CZ,770.3257874,770.3257874
CZ08,CZ,758.8186005,758.8186005
DE11,DE,20.49145062,20.49145062
DE12,DE,20.43195542,20.43195542
DE13,DE,20.56222505,20.56222505
DE14,DE,20.78542118,20.78542118
DE21,DE,20.17094373,20.17094373
DE22,DE,24.52532373,24.52532373
DE23,DE,26.94777327,26.94777327
DE24,DE,25.18565379,25.18565379
DE25,DE,20.90440395,20.90440395
DE26,DE,21.65162361,21.65162361
DE27,DE,20.64230379,20.64230379
DE30,DE,108.8501738,108.8501738
DE40,DE,102.7657156,102.7657156
DE50,DE,67.92182167,67.92182167
DE60,DE,22.6239427,22.6239427
DE71,DE,20.55082804,20.55082804
DE72,DE,22.64886782,22.64886782
DE73,DE,24.96019628,24.96019628
DE80,DE,487.9467007,487.9467007
DE91,DE,39.55887157,39.55887157
DE92,DE,19.57264395,19.57264395
DE93,DE,97.92121794,97.92121794
DE94,DE,19.6421715,19.6421715
DEA1,DE,24.46229494,24.46229494
DEA2,DE,27.46330525,27.46330525
DEA3,DE,25.19855441,25.19855441
DEA4,DE,23.93058501,23.93058501
DEA5,DE,28.44477846,28.44477846
DEB1,DE,22.02620273,22.02620273
DEB2,DE,22.85474812,22.85474812
DEB3,DE,22.44364598,22.44364598
DEC0,DE,40.92722123,40.92722123
DED2,DE,97.59136707,97.59136707
DED4,DE,95.56424918,95.56424918
DED5,DE,132.6925067,132.6925067
DEE0,DE,242.0359552,242.0359552
DEF0,DE,25.38181423,25.38181423
DEG0,DE,339.4758388,339.4758388
DK01,DK,16.05739502,16.05739502
DK02,DK,19.02700395,19.02700395
DK03,DK,16.51158515,16.51158515
DK04,DK,16.04436039,16.04436039
DK05,DK,19.75994989,19.75994989
EE00,EE,780.7964455,780.7964455
EFTA,EF,0,0
EL11,EL,0,0
EL12,EL,0,0
EL13,EL,0,0
EL14,EL,0,0
EL21,EL,0,0
EL22,EL,0,0
EL23,EL,0,0
EL24,EL,0,0
EL25,EL,0,0
EL30,EL,361.0570148,361.0570148
EL41,EL,706.256536,706.256536
EL42,EL,383.1167375,383.1167375
EL43,EL,511.2385989,511.2385989
EL51,EL,33.27940923,33.27940923
EL52,EL,0.2748193501,0.2748193501
EL53,EL,1.74529201,1.74529201
EL54,EL,38.54425919,38.54425919
EL61,EL,31.80949822,31.80949822
EL62,EL,34.92476509,34.92476509
EL63,EL,34.38539007,34.38539007
EL64,EL,1.049364014,1.049364014
EL65,EL,26.70559665,26.70559665
ES11,ES,361.5012971,361.5012971
ES12,ES,238.1719337,238.1719337
ES13,ES,162.5160925,162.5160925
ES21,ES,113.5602966,113.5602966
ES22,ES,106.8253651,106.8253651
ES23,ES,120.370166,120.370166
ES24,ES,130.9269344,130.9269344
ES30,ES,81.17794857,81.17794857
ES41,ES,149.2016623,149.2016623
ES42,ES,244.4254704,244.4254704
ES43,ES,634.4782559,634.4782559
ES51,ES,110.117569,110.117569
ES52,ES,114.2139735,114.2139735
ES53,ES,116.4438511,116.4438511
ES61,ES,340.1446569,340.1446569
ES62,ES,208.1877093,208.1877093
ES63,ES,210.2900071,210.2900071
ES64,ES,313.8770406,313.8770406
ES70,ES,350.1681482,350.1681482
EU28,EU,0,0
FI19,FI,60.9023315,60.9023315
FI1B,FI,58.46955485,58.46955485
FI1C,FI,6.484438743,6.484438743
