nuts2_id,country,year,population,erdf_eur,erdf_eur_pc,erdf_eur_pc_l1,erdf_eur_pc_l2,erdf_eur_pc_l3,gdp_mio_eur,gdp_eur,gdp_pc,log_gdp_pc,gdp_pc_growth,gdp_pc_pps,log_gdp_pc_pps,gdp_pc_pps_growth,gdp_volume_index,gdp_pc_real,log_gdp_pc_real,gdp_pc_real_growth,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva,category_2014_2020
AL01,AL,1986,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1987,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1988,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1989,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1990,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1991,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1992,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1993,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1994,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1995,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1996,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1997,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1998,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,1999,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2000,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2001,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2002,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2003,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2004,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2005,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2006,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2007,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2008,,0,,,,,,,,,,5000,8.517193191,,86.7,2562.306938,7.848663279,,,,,,,less_developed
AL01,AL,2009,,0,,,,,,,,,,5300,8.5754621,5.826890812,90.2,2665.744934,7.888238823,3.957554328,,,,,,less_developed
AL01,AL,2010,,0,,,,,,,,,,6000,8.699514748,12.40526487,96.3,2846.022585,7.953677714,6.543889174,,,,,,less_developed
AL01,AL,2011,,0,,,,,,,,,,6100,8.71604405,1.652930195,95.4,2819.424243,7.944287974,-0.938974035,,,,,,less_developed
AL01,AL,2012,,0,,,,,,,,,,6300,8.748304912,3.226086222,97.5,2881.487041,7.966061773,2.177379955,,,,,,less_developed
AL01,AL,2013,,0,,,,,,,,,,6200,8.732304571,-1.600034135,97,2866.710184,7.960920374,-0.51413995,,,,,,less_developed
AL01,AL,2014,,0,,,,,2290.45,2290450000,,,,6400,8.764053269,3.174869831,95.9,2834.2011,7.949515377,-1.140499661,,,,,95.8,less_developed
AL01,AL,2015,,0,,,,,2418.75,2418750000,,,,6800,8.824677891,6.062462182,100,2955.371324,7.991379581,4.18642041,,,,,100,less_developed
AL01,AL,2016,830981,0,0,,,,2549.18,2549180000,3067.675434,8.028675366,,6900,8.839276691,1.459879942,103.8,3067.675434,8.028675366,3.729578474,,,,,103.7,less_developed
AL01,AL,2017,826904,0,0,0,,,2707.01,2707010000,3273.669011,8.093666657,6.499129044,7200,8.881836305,4.255961442,106.3,3141.559717,8.052474681,2.379931462,,,,,106.2,less_developed
AL01,AL,2018,819793,0,0,0,0,,2954.85,2954850000,3604.385497,8.189906577,9.623992009,7400,8.909235279,2.739897419,109,3221.354743,8.077557278,2.508259688,,,,,108.9,less_developed
AL01,AL,2019,813758,0,0,0,0,0,3165.02,3165020000,3889.387263,8.266006908,7.610033141,7700,8.948975608,3.974032865,111.2,3286.372912,8.097539777,1.998249959,,,,,111.5,less_developed
AL01,AL,2020,804689,0,0,0,0,0,2996.28,2996280000,3723.525486,8.22242621,-4.358069832,7400,8.909235279,-3.974032865,105.2,3109.050633,8.042072696,-5.546708151,,,,,105.9,less_developed
AL01,AL,2021,797955,0,0,0,0,0,3390.4,3390400000,4248.861151,8.354406262,13.19800518,8200,9.011889433,10.26541541,114.4,3380.944795,8.125910474,8.383777864,,,,,114.4,less_developed
AL01,AL,2022,783970,0,0,0,0,0,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2023,771020,0,0,0,0,0,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2024,,0,,0,0,0,,,,,,,,,,,,,,,,,,less_developed
AL01,AL,2025,633710,0,0,,0,0,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1986,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1987,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1988,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1989,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1990,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1991,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1992,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1993,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1994,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1995,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1996,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1997,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1998,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,1999,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2000,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2001,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2002,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2003,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2004,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2005,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2006,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2007,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2008,,0,,,,,,,,,,8600,9.059517482,,85.9,3714.872113,8.220099532,,,,,,,less_developed
AL02,AL,2009,,0,,,,,,,,,,8900,9.093806556,3.428907348,89.5,3870.55942,8.261154328,4.105479629,,,,,,less_developed
AL02,AL,2010,,0,,,,,,,,,,9300,9.137769679,4.396312342,91.4,3952.72772,8.282161182,2.100685318,,,,,,less_developed
AL02,AL,2011,,0,,,,,,,,,,9300,9.137769679,0,90.6,3918.130541,8.273369916,-0.8791265411,,,,,,less_developed
AL02,AL,2012,,0,,,,,,,,,,9300,9.137769679,0,91.5,3957.052368,8.283254675,0.9884759233,,,,,,less_developed
AL02,AL,2013,,0,,,,,,,,,,9000,9.104979856,-3.278982282,92.9,4017.597431,8.298439349,1.518467354,,,,,,less_developed
AL02,AL,2014,,0,,,,,4535.08,4535080000,,,,9500,9.159047078,5.406722127,95.3,4121.388969,8.323945514,2.550616484,,,,,95.3,less_developed
AL02,AL,2015,,0,,,,,4837.09,4837090000,,,,10100,9.220290703,6.124362524,100,4324.647396,8.372085889,4.814037533,,,,,100,less_developed
AL02,AL,2016,1130587,0,0,,,,5050.74,5050740000,4467.36076,8.404553079,,10000,9.210340372,-0.9950330853,103.3,4467.36076,8.404553079,3.246719014,,,,,103.1,less_developed
AL02,AL,2017,1146183,0,0,0,,,5640.06,5640060000,4920.732553,8.501212691,9.665961201,10700,9.27799902,6.765864847,110.6,4783.06002,8.472835792,6.828271296,,,,,110.5,less_developed
AL02,AL,2018,1162544,0,0,0,0,,6327.54,6327540000,5442.839153,8.602056107,10.08434155,11100,9.314700387,3.670136685,116,5016.59098,8.520505894,4.767010202,,,,,116,less_developed
AL02,AL,2019,1170142,0,0,0,0,0,6789.07,6789070000,5801.919767,8.665944136,6.388802929,11400,9.341368634,2.666824708,118.6,5129.031812,8.54267219,2.216629546,,,,,118.9,less_developed
AL02,AL,2020,1176240,0,0,0,0,0,6628.26,6628260000,5635.125485,8.636774695,-2.916944107,11100,9.314700387,-2.666824708,115.6,4999.29239,8.517051659,-2.562053033,,,,,116.4,less_developed
AL02,AL,2021,1178435,0,0,0,0,0,7646.74,7646740000,6488.894169,8.777847405,14.10727102,12300,9.417354541,10.26541541,127.8,5526.899372,8.617382245,10.03305857,,,,,127.8,less_developed
AL02,AL,2022,1178623,0,0,0,0,0,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2023,1177987,0,0,0,0,0,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2024,,0,,0,0,0,,,,,,,,,,,,,,,,,,less_developed
AL02,AL,2025,986944,0,0,,0,0,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1986,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1987,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1988,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1989,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1990,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1991,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1992,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1993,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1994,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1995,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
AL03,AL,1996,,0,,,,,,,,,,,,,,,,,,,,,,less_developed
