nuts2_id,country,r_value,eligible_lt75,category_2014_2020,ref_years_used
AL01,AL,21,1,less_developed,"2008,2009"
AL02,AL,35.5,1,less_developed,"2008,2009"
AL03,AL,22,1,less_developed,"2008,2009"
AT11,AT,81.66666667,0,transition,"2007,2008,2009"
AT12,AT,103.3333333,0,more_developed,"2007,2008,2009"
AT13,AT,163.3333333,0,more_developed,"2007,2008,2009"
AT21,AT,109,0,more_developed,"2007,2008,2009"
AT22,AT,113.3333333,0,more_developed,"2007,2008,2009"
AT31,AT,127.3333333,0,more_developed,"2007,2008,2009"
AT32,AT,144.3333333,0,more_developed,"2007,2008,2009"
AT33,AT,128,0,more_developed,"2007,2008,2009"
AT34,AT,130.3333333,0,more_developed,"2007,2008,2009"
BE10,BE,223.6666667,0,more_developed,"2007,2008,2009"
BE21,BE,138.6666667,0,more_developed,"2007,2008,2009"
BE22,BE,96,0,more_developed,"2007,2008,2009"
BE23,BE,105.6666667,0,more_developed,"2007,2008,2009"
BE24,BE,124.3333333,0,more_developed,"2007,2008,2009"
BE25,BE,111.3333333,0,more_developed,"2007,2008,2009"
BE31,BE,123.6666667,0,more_developed,"2007,2008,2009"
BE32,BE,76,0,transition,"2007,2008,2009"
BE33,BE,85.66666667,0,transition,"2007,2008,2009"
BE34,BE,77.66666667,0,transition,"2007,2008,2009"
BE35,BE,81.33333333,0,transition,"2007,2008,2009"
BG31,BG,27.66666667,1,less_developed,"2007,2008,2009"
BG32,BG,29.66666667,1,less_developed,"2007,2008,2009"
BG33,BG,36,1,less_developed,"2007,2008,2009"
BG34,BG,35,1,less_developed,"2007,2008,2009"
BG41,BG,71,1,less_developed,"2007,2008,2009"
BG42,BG,30,1,less_developed,"2007,2008,2009"
CY00,CY,106.3333333,0,more_developed,"2007,2008,2009"
CZ01,CZ,191.3333333,0,more_developed,"2007,2008,2009"
CZ02,CZ,81.33333333,0,transition,"2007,2008,2009"
CZ03,CZ,72.33333333,1,less_developed,"2007,2008,2009"
CZ04,CZ,64.66666667,1,less_developed,"2007,2008,2009"
CZ05,CZ,68.66666667,1,less_developed,"2007,2008,2009"
CZ06,CZ,76.66666667,0,transition,"2007,2008,2009"
