year,sigma_log_gdp_pps,sigma_log_gdp_real,sigma_log_gdp_nominal,n_regions_pps,n_regions_real
1986,,,,0,0
1987,,,,0,0
1988,,,,0,0
1989,,,,0,0
1990,,,,0,0
1991,,,,0,0
1992,,,,0,0
1993,,,,0,0
1994,,,,0,0
1995,,,,0,0
1996,,,,0,0
1997,,,,0,0
1998,,,,0,0
1999,,,,0,0
2000,0.5338601447,0.7138707443,,230,242
2001,0.5203736066,0.7080166036,,230,242
2002,0.5046579161,0.6964526681,,230,242
2003,0.488691123,0.6830866003,,241,242
2004,0.5510547656,0.670922369,,267,242
2005,0.5371739797,0.6616327495,,267,242
2006,0.5251757067,0.6585149939,,268,243
2007,0.5129277624,0.6522017035,,268,243
2008,0.5065195502,0.7727009623,,277,272
2009,0.4976472694,0.7581104833,,277,272
2010,0.4804570142,0.7547633386,,279,272
2011,0.4692664688,0.7447652349,,279,272
2012,0.4630828573,0.7371625175,,279,272
2013,0.4590287107,0.7266084775,,279,272
2014,0.4627604144,0.7215157176,,287,272
2015,0.4573063164,0.7171579392,,287,272
2016,0.4552709477,0.7143462078,0.7261631493,287,272
2017,0.4499102305,0.7064741423,0.737435959,287,272
2018,0.450910258,0.6987853011,0.7487084379,287,272
2019,0.4521408279,0.6994756443,0.7451397987,287,272
2020,0.4401659471,0.6899873525,0.749733691,280,272
2021,0.4380838725,0.6852644191,0.7444511529,285,272
2022,0.4090668423,0.6664729409,0.6722674666,276,269
2023,0.3913818865,0.6570070917,0.6265829498,276,269
2024,,,,0,0
2025,,,,0,0
