nuts2_id,category_2014_2020
AL01,less_developed
AL02,less_developed
AL03,less_developed
AT11,transition
AT12,more_developed
AT13,more_developed
AT21,more_developed
AT22,more_developed
AT31,more_developed
AT32,more_developed
AT33,more_developed
AT34,more_developed
BE10,more_developed
BE21,more_developed
BE22,more_developed
BE23,more_developed
BE24,more_developed
BE25,more_developed
BE31,more_developed
BE32,transition
BE33,transition
BE34,transition
BE35,transition
BG31,less_developed
BG32,less_developed
BG33,less_developed
BG34,less_developed
BG41,less_developed
BG42,less_developed
CY00,more_developed
CZ01,more_developed
CZ02,transition
CZ03,less_developed
CZ04,less_developed
CZ05,less_developed
CZ06,transition
CZ07,less_developed
CZ08,less_developed
DE11,more_developed
DE12,more_developed
DE13,more_developed
DE14,more_developed
DE21,more_developed
DE22,more_developed
DE23,more_developed
DE24,more_developed
DE25,more_developed
DE26,more_developed
DE27,more_developed
DE30,more_developed
DE40,transition
DE50,more_developed
DE60,more_developed
DE71,more_developed
DE72,more_developed
DE73,more_developed
DE80,transition
DE91,more_developed
DE92,more_developed
DE93,transition
DE94,more_developed
DEA1,more_developed
DEA2,more_developed
DEA3,more_developed
DEA4,more_developed
DEA5,more_developed
DEB1,more_developed
DEB2,transition
DEB3,more_developed
DEC0,more_developed
DED2,transition
DED4,transition
DED5,more_developed
DEE0,transition
DEF0,more_developed
DEG0,transition
DK01,more_developed
DK02,transition
DK03,more_developed
DK04,more_developed
DK05,more_developed
EE00,less_developed
EL30,more_developed
EL41,less_developed
EL42,more_developed
EL43,transition
EL51,less_developed
EL52,less_developed
EL53,transition
EL54,less_developed
EL61,less_developed
EL62,more_developed
EL63,less_developed
EL64,transition
EL65,transition
ES11,transition
ES12,more_developed
ES13,more_developed
ES21,more_developed
ES22,more_developed
ES23,more_developed
ES24,more_developed
ES30,more_developed
ES41,more_developed
ES42,transition
ES43,less_developed
ES51,more_developed
ES52,more_developed
ES53,more_developed
ES61,transition
ES62,transition
ES63,transition
ES64,transition
ES70,transition
FI19,more_developed
FI1B,more_developed
FI1C,more_developed
FI1D,more_developed
FI20,more_developed
FR10,more_developed
FRB0,more_developed
FRC1,more_developed
FRC2,transition
FRD1,transition
FRD2,more_developed
FRE1,transition
FRE2,transition
FRF1,more_developed
FRF2,more_developed
FRF3,transition
FRG0,more_developed
FRH0,more_developed
FRI1,more_developed
FRI2,transition
FRI3,transition
FRJ1,transition
FRJ2,more_developed
FRK1,transition
FRK2,more_developed
FRL0,more_developed
FRM0,transition
FRY1,less_developed
FRY2,less_developed
FRY3,less_developed
FRY4,less_developed
HR02,less_developed
HR03,less_developed
HR05,more_developed
HR06,less_developed
HU11,more_developed
HU12,less_developed
HU21,less_developed
HU22,less_developed
HU23,less_developed
HU31,less_developed
HU32,less_developed
HU33,less_developed
IE04,transition
IE05,more_developed
IE06,more_developed
ITC1,more_developed
ITC2,more_developed
ITC3,more_developed
ITC4,more_developed
ITF1,more_developed
ITF2,transition
ITF3,less_developed
ITF4,less_developed
ITF5,transition
ITF6,less_developed
ITG1,less_developed
ITG2,transition
ITH1,more_developed
ITH2,more_developed
ITH3,more_developed
ITH4,more_developed
ITH5,more_developed
ITI1,more_developed
ITI2,more_developed
ITI3,more_developed
ITI4,more_developed
LT01,more_developed
LT02,less_developed
LU00,more_developed
LV00,less_developed
ME00,less_developed
MK00,less_developed
MT00,transition
NL11,more_developed
NL12,more_developed
NL13,more_developed
NL21,more_developed
NL22,more_developed
NL23,more_developed
NL32,more_developed
NL34,more_developed
NL35,more_developed
NL36,more_developed
NL41,more_developed
NL42,more_developed
NO02,more_developed
NO06,more_developed
NO07,more_developed
NO08,more_developed
NO09,more_developed
NO0A,more_developed
PL21,less_developed
PL22,less_developed
PL41,less_developed
PL42,less_developed
PL43,less_developed
PL51,less_developed
PL52,less_developed
PL61,less_developed
PL62,less_developed
PL63,less_developed
PL71,less_developed
PL72,less_developed
PL81,less_developed
PL82,less_developed
PL84,less_developed
PL91,more_developed
PL92,less_developed
PT11,less_developed
PT15,transition
PT20,less_developed
PT30,transition
RO11,less_developed
RO12,less_developed
RO21,less_developed
RO22,less_developed
RO31,less_developed
RO32,more_developed
RO41,less_developed
RO42,less_developed
RS11,transition
RS12,less_developed
RS21,less_developed
RS22,less_developed
SE11,more_developed
SE12,more_developed
SE21,more_developed
SE22,more_developed
SE23,more_developed
SE31,more_developed
SE32,more_developed
SE33,more_developed
SI03,less_developed
SI04,more_developed
SK01,more_developed
SK02,less_developed
SK03,less_developed
SK04,less_developed
TR10,transition
TR21,less_developed
TR22,less_developed
TR31,less_developed
TR32,less_developed
TR33,less_developed
TR41,less_developed
TR42,less_developed
TR51,less_developed
TR52,less_developed
TR61,less_developed
TR62,less_developed
TR63,less_developed
TR71,less_developed
TR72,less_developed
TR81,less_developed
TR82,less_developed
TR83,less_developed
TR90,less_developed
TRA1,less_developed
TRA2,less_developed
TRB1,less_developed
TRB2,less_developed
TRC1,less_developed
TRC2,less_developed
TRC3,less_developed
