freq,unit,geo,time,obs_value
A,PPS_EU27_2020_HAB,AL,2008,6400
A,PPS_EU27_2020_HAB,AL,2009,6700
A,PPS_EU27_2020_HAB,AL,2010,7300
A,PPS_EU27_2020_HAB,AL,2011,7600
A,PPS_EU27_2020_HAB,AL,2012,7800
A,PPS_EU27_2020_HAB,AL,2013,7600
A,PPS_EU27_2020_HAB,AL,2014,8100
A,PPS_EU27_2020_HAB,AL,2015,8400
A,PPS_EU27_2020_HAB,AL,2016,8400
A,PPS_EU27_2020_HAB,AL,2017,8800
A,PPS_EU27_2020_HAB,AL,2018,9200
A,PPS_EU27_2020_HAB,AL,2019,9500
A,PPS_EU27_2020_HAB,AL,2020,9200
A,PPS_EU27_2020_HAB,AL,2021,10300
A,PPS_EU27_2020_HAB,AL0,2008,6400
A,PPS_EU27_2020_HAB,AL0,2009,6700
A,PPS_EU27_2020_HAB,AL0,2010,7300
A,PPS_EU27_2020_HAB,AL0,2011,7600
A,PPS_EU27_2020_HAB,AL0,2012,7800
A,PPS_EU27_2020_HAB,AL0,2013,7600
A,PPS_EU27_2020_HAB,AL0,2014,8100
A,PPS_EU27_2020_HAB,AL0,2015,8400
A,PPS_EU27_2020_HAB,AL0,2016,8400
A,PPS_EU27_2020_HAB,AL0,2017,8800
A,PPS_EU27_2020_HAB,AL0,2018,9200
A,PPS_EU27_2020_HAB,AL0,2019,9500
A,PPS_EU27_2020_HAB,AL0,2020,9200
A,PPS_EU27_2020_HAB,AL0,2021,10300
A,PPS_EU27_2020_HAB,AL01,2008,5000
A,PPS_EU27_2020_HAB,AL01,2009,5300
A,PPS_EU27_2020_HAB,AL01,2010,6000
A,PPS_EU27_2020_HAB,AL01,2011,6100
A,PPS_EU27_2020_HAB,AL01,2012,6300
A,PPS_EU27_2020_HAB,AL01,2013,6200
A,PPS_EU27_2020_HAB,AL01,2014,6400
A,PPS_EU27_2020_HAB,AL01,2015,6800
A,PPS_EU27_2020_HAB,AL01,2016,6900
A,PPS_EU27_2020_HAB,AL01,2017,7200
A,PPS_EU27_2020_HAB,AL01,2018,7400
A,PPS_EU27_2020_HAB,AL01,2019,7700
A,PPS_EU27_2020_HAB,AL01,2020,7400
A,PPS_EU27_2020_HAB,AL01,2021,8200
A,PPS_EU27_2020_HAB,AL02,2008,8600
A,PPS_EU27_2020_HAB,AL02,2009,8900
A,PPS_EU27_2020_HAB,AL02,2010,9300
A,PPS_EU27_2020_HAB,AL02,2011,9300
A,PPS_EU27_2020_HAB,AL02,2012,9300
A,PPS_EU27_2020_HAB,AL02,2013,9000
A,PPS_EU27_2020_HAB,AL02,2014,9500
A,PPS_EU27_2020_HAB,AL02,2015,10100
A,PPS_EU27_2020_HAB,AL02,2016,10000
A,PPS_EU27_2020_HAB,AL02,2017,10700
A,PPS_EU27_2020_HAB,AL02,2018,11100
A,PPS_EU27_2020_HAB,AL02,2019,11400
A,PPS_EU27_2020_HAB,AL02,2020,11100
A,PPS_EU27_2020_HAB,AL02,2021,12300
A,PPS_EU27_2020_HAB,AL03,2008,5300
A,PPS_EU27_2020_HAB,AL03,2009,5500
A,PPS_EU27_2020_HAB,AL03,2010,6200
A,PPS_EU27_2020_HAB,AL03,2011,7100
A,PPS_EU27_2020_HAB,AL03,2012,7400
A,PPS_EU27_2020_HAB,AL03,2013,7400
A,PPS_EU27_2020_HAB,AL03,2014,7900
A,PPS_EU27_2020_HAB,AL03,2015,7700
A,PPS_EU27_2020_HAB,AL03,2016,7700
A,PPS_EU27_2020_HAB,AL03,2017,7800
A,PPS_EU27_2020_HAB,AL03,2018,8200
A,PPS_EU27_2020_HAB,AL03,2019,8600
A,PPS_EU27_2020_HAB,AL03,2020,8400
A,PPS_EU27_2020_HAB,AL03,2021,9300
A,PPS_EU27_2020_HAB,AT,2000,24300
A,PPS_EU27_2020_HAB,AT,2001,24500
A,PPS_EU27_2020_HAB,AT,2002,25400
A,PPS_EU27_2020_HAB,AT,2003,26300
A,PPS_EU27_2020_HAB,AT,2004,27400
A,PPS_EU27_2020_HAB,AT,2005,28500
A,PPS_EU27_2020_HAB,AT,2006,29700
A,PPS_EU27_2020_HAB,AT,2007,30900
A,PPS_EU27_2020_HAB,AT,2008,31900
A,PPS_EU27_2020_HAB,AT,2009,30700
A,PPS_EU27_2020_HAB,AT,2010,31600
A,PPS_EU27_2020_HAB,AT,2011,32900
A,PPS_EU27_2020_HAB,AT,2012,34100
A,PPS_EU27_2020_HAB,AT,2013,34300
A,PPS_EU27_2020_HAB,AT,2014,34700
A,PPS_EU27_2020_HAB,AT,2015,35700
A,PPS_EU27_2020_HAB,AT,2016,36400
A,PPS_EU27_2020_HAB,AT,2017,37000
A,PPS_EU27_2020_HAB,AT,2018,38400
A,PPS_EU27_2020_HAB,AT,2019,39300
A,PPS_EU27_2020_HAB,AT,2020,37400
A,PPS_EU27_2020_HAB,AT,2021,40200
A,PPS_EU27_2020_HAB,AT,2022,44300
A,PPS_EU27_2020_HAB,AT,2023,45700
A,PPS_EU27_2020_HAB,AT1,2000,25800
A,PPS_EU27_2020_HAB,AT1,2001,25800
A,PPS_EU27_2020_HAB,AT1,2002,26800
A,PPS_EU27_2020_HAB,AT1,2003,27400
A,PPS_EU27_2020_HAB,AT1,2004,28600
A,PPS_EU27_2020_HAB,AT1,2005,29500
A,PPS_EU27_2020_HAB,AT1,2006,30600
A,PPS_EU27_2020_HAB,AT1,2007,31700
A,PPS_EU27_2020_HAB,AT1,2008,32600
A,PPS_EU27_2020_HAB,AT1,2009,31700
A,PPS_EU27_2020_HAB,AT1,2010,32500
A,PPS_EU27_2020_HAB,AT1,2011,33500
A,PPS_EU27_2020_HAB,AT1,2012,34500
A,PPS_EU27_2020_HAB,AT1,2013,34600
A,PPS_EU27_2020_HAB,AT1,2014,34700
A,PPS_EU27_2020_HAB,AT1,2015,35600
A,PPS_EU27_2020_HAB,AT1,2016,36400
A,PPS_EU27_2020_HAB,AT1,2017,36600
A,PPS_EU27_2020_HAB,AT1,2018,37900
A,PPS_EU27_2020_HAB,AT1,2019,38800
A,PPS_EU27_2020_HAB,AT1,2020,36800
A,PPS_EU27_2020_HAB,AT1,2021,39900
A,PPS_EU27_2020_HAB,AT1,2022,43000
A,PPS_EU27_2020_HAB,AT1,2023,44600
A,PPS_EU27_2020_HAB,AT11,2000,16200
A,PPS_EU27_2020_HAB,AT11,2001,16300
A,PPS_EU27_2020_HAB,AT11,2002,17200
A,PPS_EU27_2020_HAB,AT11,2003,17600
A,PPS_EU27_2020_HAB,AT11,2004,18600
A,PPS_EU27_2020_HAB,AT11,2005,18600
A,PPS_EU27_2020_HAB,AT11,2006,19300
A,PPS_EU27_2020_HAB,AT11,2007,20200
A,PPS_EU27_2020_HAB,AT11,2008,20100
A,PPS_EU27_2020_HAB,AT11,2009,20100
A,PPS_EU27_2020_HAB,AT11,2010,21100
A,PPS_EU27_2020_HAB,AT11,2011,22000
A,PPS_EU27_2020_HAB,AT11,2012,23000
A,PPS_EU27_2020_HAB,AT11,2013,23400
A,PPS_EU27_2020_HAB,AT11,2014,23800
A,PPS_EU27_2020_HAB,AT11,2015,25100
A,PPS_EU27_2020_HAB,AT11,2016,25500
A,PPS_EU27_2020_HAB,AT11,2017,26100
A,PPS_EU27_2020_HAB,AT11,2018,26700
A,PPS_EU27_2020_HAB,AT11,2019,27200
A,PPS_EU27_2020_HAB,AT11,2020,26100
A,PPS_EU27_2020_HAB,AT11,2021,28200
A,PPS_EU27_2020_HAB,AT11,2022,30800
A,PPS_EU27_2020_HAB,AT11,2023,32200
A,PPS_EU27_2020_HAB,AT12,2000,20000
A,PPS_EU27_2020_HAB,AT12,2001,19700
A,PPS_EU27_2020_HAB,AT12,2002,20300
A,PPS_EU27_2020_HAB,AT12,2003,21000
A,PPS_EU27_2020_HAB,AT12,2004,22500
A,PPS_EU27_2020_HAB,AT12,2005,23200
A,PPS_EU27_2020_HAB,AT12,2006,24100
A,PPS_EU27_2020_HAB,AT12,2007,25300
A,PPS_EU27_2020_HAB,AT12,2008,26100
A,PPS_EU27_2020_HAB,AT12,2009,25100
A,PPS_EU27_2020_HAB,AT12,2010,25800
A,PPS_EU27_2020_HAB,AT12,2011,26900
A,PPS_EU27_2020_HAB,AT12,2012,28000
A,PPS_EU27_2020_HAB,AT12,2013,28200
A,PPS_EU27_2020_HAB,AT12,2014,28600
A,PPS_EU27_2020_HAB,AT12,2015,29500
A,PPS_EU27_2020_HAB,AT12,2016,30200
A,PPS_EU27_2020_HAB,AT12,2017,30900
A,PPS_EU27_2020_HAB,AT12,2018,32000
A,PPS_EU27_2020_HAB,AT12,2019,33100
A,PPS_EU27_2020_HAB,AT12,2020,30800
A,PPS_EU27_2020_HAB,AT12,2021,33100
A,PPS_EU27_2020_HAB,AT12,2022,36500
A,PPS_EU27_2020_HAB,AT12,2023,37500
A,PPS_EU27_2020_HAB,AT13,2000,33300
A,PPS_EU27_2020_HAB,AT13,2001,33500
A,PPS_EU27_2020_HAB,AT13,2002,34900
A,PPS_EU27_2020_HAB,AT13,2003,35400
A,PPS_EU27_2020_HAB,AT13,2004,36100
A,PPS_EU27_2020_HAB,AT13,2005,37400
A,PPS_EU27_2020_HAB,AT13,2006,38700
A,PPS_EU27_2020_HAB,AT13,2007,39700
A,PPS_EU27_2020_HAB,AT13,2008,41000
A,PPS_EU27_2020_HAB,AT13,2009,39900
A,PPS_EU27_2020_HAB,AT13,2010,40800
A,PPS_EU27_2020_HAB,AT13,2011,41600
A,PPS_EU27_2020_HAB,AT13,2012,42400
A,PPS_EU27_2020_HAB,AT13,2013,42300
A,PPS_EU27_2020_HAB,AT13,2014,42100
A,PPS_EU27_2020_HAB,AT13,2015,42700
A,PPS_EU27_2020_HAB,AT13,2016,43600
A,PPS_EU27_2020_HAB,AT13,2017,43200
A,PPS_EU27_2020_HAB,AT13,2018,44900
A,PPS_EU27_2020_HAB,AT13,2019,45600
A,PPS_EU27_2020_HAB,AT13,2020,43800
A,PPS_EU27_2020_HAB,AT13,2021,47600
A,PPS_EU27_2020_HAB,AT13,2022,50500
A,PPS_EU27_2020_HAB,AT13,2023,52500
A,PPS_EU27_2020_HAB,AT2,2000,21000
A,PPS_EU27_2020_HAB,AT2,2001,21200
A,PPS_EU27_2020_HAB,AT2,2002,21800
A,PPS_EU27_2020_HAB,AT2,2003,22900
A,PPS_EU27_2020_HAB,AT2,2004,24100
A,PPS_EU27_2020_HAB,AT2,2005,24900
A,PPS_EU27_2020_HAB,AT2,2006,26200
A,PPS_EU27_2020_HAB,AT2,2007,27500
A,PPS_EU27_2020_HAB,AT2,2008,28300
A,PPS_EU27_2020_HAB,AT2,2009,27000
A,PPS_EU27_2020_HAB,AT2,2010,27800
A,PPS_EU27_2020_HAB,AT2,2011,29200
A,PPS_EU27_2020_HAB,AT2,2012,30400
A,PPS_EU27_2020_HAB,AT2,2013,30300
A,PPS_EU27_2020_HAB,AT2,2014,31000
A,PPS_EU27_2020_HAB,AT2,2015,31600
A,PPS_EU27_2020_HAB,AT2,2016,32400
A,PPS_EU27_2020_HAB,AT2,2017,33500
A,PPS_EU27_2020_HAB,AT2,2018,34500
A,PPS_EU27_2020_HAB,AT2,2019,35600
A,PPS_EU27_2020_HAB,AT2,2020,34000
A,PPS_EU27_2020_HAB,AT2,2021,36500
A,PPS_EU27_2020_HAB,AT2,2022,40500
A,PPS_EU27_2020_HAB,AT2,2023,42200
A,PPS_EU27_2020_HAB,AT21,2000,20500
A,PPS_EU27_2020_HAB,AT21,2001,20600
A,PPS_EU27_2020_HAB,AT21,2002,21500
A,PPS_EU27_2020_HAB,AT21,2003,22300
A,PPS_EU27_2020_HAB,AT21,2004,23500
A,PPS_EU27_2020_HAB,AT21,2005,24200
A,PPS_EU27_2020_HAB,AT21,2006,25400
A,PPS_EU27_2020_HAB,AT21,2007,26900
A,PPS_EU27_2020_HAB,AT21,2008,27700
A,PPS_EU27_2020_HAB,AT21,2009,26100
A,PPS_EU27_2020_HAB,AT21,2010,27000
A,PPS_EU27_2020_HAB,AT21,2011,28300
A,PPS_EU27_2020_HAB,AT21,2012,29200
A,PPS_EU27_2020_HAB,AT21,2013,29200
A,PPS_EU27_2020_HAB,AT21,2014,30100
A,PPS_EU27_2020_HAB,AT21,2015,30500
A,PPS_EU27_2020_HAB,AT21,2016,30800
A,PPS_EU27_2020_HAB,AT21,2017,31800
A,PPS_EU27_2020_HAB,AT21,2018,33300
A,PPS_EU27_2020_HAB,AT21,2019,34100
A,PPS_EU27_2020_HAB,AT21,2020,33100
A,PPS_EU27_2020_HAB,AT21,2021,35500
A,PPS_EU27_2020_HAB,AT21,2022,39600
A,PPS_EU27_2020_HAB,AT21,2023,41300
A,PPS_EU27_2020_HAB,AT22,2000,21200
A,PPS_EU27_2020_HAB,AT22,2001,21500
A,PPS_EU27_2020_HAB,AT22,2002,22000
A,PPS_EU27_2020_HAB,AT22,2003,23100
A,PPS_EU27_2020_HAB,AT22,2004,24400
A,PPS_EU27_2020_HAB,AT22,2005,25200
A,PPS_EU27_2020_HAB,AT22,2006,26500
A,PPS_EU27_2020_HAB,AT22,2007,27900
A,PPS_EU27_2020_HAB,AT22,2008,28600
A,PPS_EU27_2020_HAB,AT22,2009,27400
A,PPS_EU27_2020_HAB,AT22,2010,28100
A,PPS_EU27_2020_HAB,AT22,2011,29600
A,PPS_EU27_2020_HAB,AT22,2012,31000
A,PPS_EU27_2020_HAB,AT22,2013,30800
A,PPS_EU27_2020_HAB,AT22,2014,31500
A,PPS_EU27_2020_HAB,AT22,2015,32100
A,PPS_EU27_2020_HAB,AT22,2016,33100
A,PPS_EU27_2020_HAB,AT22,2017,34300
A,PPS_EU27_2020_HAB,AT22,2018,35100
A,PPS_EU27_2020_HAB,AT22,2019,36200
A,PPS_EU27_2020_HAB,AT22,2020,34400
A,PPS_EU27_2020_HAB,AT22,2021,37000
A,PPS_EU27_2020_HAB,AT22,2022,40900
A,PPS_EU27_2020_HAB,AT22,2023,42600
A,PPS_EU27_2020_HAB,AT3,2000,24400
A,PPS_EU27_2020_HAB,AT3,2001,24800
A,PPS_EU27_2020_HAB,AT3,2002,25800
A,PPS_EU27_2020_HAB,AT3,2003,26800
A,PPS_EU27_2020_HAB,AT3,2004,27900
A,PPS_EU27_2020_HAB,AT3,2005,29400
A,PPS_EU27_2020_HAB,AT3,2006,30800
A,PPS_EU27_2020_HAB,AT3,2007,32100
A,PPS_EU27_2020_HAB,AT3,2008,33000
A,PPS_EU27_2020_HAB,AT3,2009,31700
A,PPS_EU27_2020_HAB,AT3,2010,32800
A,PPS_EU27_2020_HAB,AT3,2011,34400
A,PPS_EU27_2020_HAB,AT3,2012,35800
A,PPS_EU27_2020_HAB,AT3,2013,36300
A,PPS_EU27_2020_HAB,AT3,2014,36700
A,PPS_EU27_2020_HAB,AT3,2015,38100
A,PPS_EU27_2020_HAB,AT3,2016,38700
A,PPS_EU27_2020_HAB,AT3,2017,39500
A,PPS_EU27_2020_HAB,AT3,2018,41200
A,PPS_EU27_2020_HAB,AT3,2019,41900
A,PPS_EU27_2020_HAB,AT3,2020,39900
A,PPS_EU27_2020_HAB,AT3,2021,42600
A,PPS_EU27_2020_HAB,AT3,2022,48000
A,PPS_EU27_2020_HAB,AT3,2023,49100
A,PPS_EU27_2020_HAB,AT31,2000,23400
A,PPS_EU27_2020_HAB,AT31,2001,24000
A,PPS_EU27_2020_HAB,AT31,2002,24800
A,PPS_EU27_2020_HAB,AT31,2003,25900
A,PPS_EU27_2020_HAB,AT31,2004,26900
A,PPS_EU27_2020_HAB,AT31,2005,28400
A,PPS_EU27_2020_HAB,AT31,2006,29700
A,PPS_EU27_2020_HAB,AT31,2007,31000
A,PPS_EU27_2020_HAB,AT31,2008,32400
A,PPS_EU27_2020_HAB,AT31,2009,30800
A,PPS_EU27_2020_HAB,AT31,2010,31700
A,PPS_EU27_2020_HAB,AT31,2011,33600
A,PPS_EU27_2020_HAB,AT31,2012,34700
A,PPS_EU27_2020_HAB,AT31,2013,35400
A,PPS_EU27_2020_HAB,AT31,2014,35800
A,PPS_EU27_2020_HAB,AT31,2015,36900
A,PPS_EU27_2020_HAB,AT31,2016,37400
A,PPS_EU27_2020_HAB,AT31,2017,38300
A,PPS_EU27_2020_HAB,AT31,2018,39900
A,PPS_EU27_2020_HAB,AT31,2019,40800
A,PPS_EU27_2020_HAB,AT31,2020,39000
A,PPS_EU27_2020_HAB,AT31,2021,42000
A,PPS_EU27_2020_HAB,AT31,2022,45700
A,PPS_EU27_2020_HAB,AT31,2023,47300
A,PPS_EU27_2020_HAB,AT32,2000,26600
A,PPS_EU27_2020_HAB,AT32,2001,26800
A,PPS_EU27_2020_HAB,AT32,2002,27900
A,PPS_EU27_2020_HAB,AT32,2003,29200
A,PPS_EU27_2020_HAB,AT32,2004,30800
A,PPS_EU27_2020_HAB,AT32,2005,32100
A,PPS_EU27_2020_HAB,AT32,2006,33800
A,PPS_EU27_2020_HAB,AT32,2007,35600
A,PPS_EU27_2020_HAB,AT32,2008,36100
A,PPS_EU27_2020_HAB,AT32,2009,34800
A,PPS_EU27_2020_HAB,AT32,2010,36800
A,PPS_EU27_2020_HAB,AT32,2011,38200
A,PPS_EU27_2020_HAB,AT32,2012,40100
A,PPS_EU27_2020_HAB,AT32,2013,39600
A,PPS_EU27_2020_HAB,AT32,2014,39900
A,PPS_EU27_2020_HAB,AT32,2015,41400
A,PPS_EU27_2020_HAB,AT32,2016,42600
A,PPS_EU27_2020_HAB,AT32,2017,43300
A,PPS_EU27_2020_HAB,AT32,2018,44800
A,PPS_EU27_2020_HAB,AT32,2019,45900
A,PPS_EU27_2020_HAB,AT32,2020,44000
A,PPS_EU27_2020_HAB,AT32,2021,46500
A,PPS_EU27_2020_HAB,AT32,2022,53500
A,PPS_EU27_2020_HAB,AT32,2023,56200
A,PPS_EU27_2020_HAB,AT33,2000,24300
A,PPS_EU27_2020_HAB,AT33,2001,24800
A,PPS_EU27_2020_HAB,AT33,2002,25800
A,PPS_EU27_2020_HAB,AT33,2003,26900
A,PPS_EU27_2020_HAB,AT33,2004,27600
A,PPS_EU27_2020_HAB,AT33,2005,29400
A,PPS_EU27_2020_HAB,AT33,2006,30700
A,PPS_EU27_2020_HAB,AT33,2007,31500
A,PPS_EU27_2020_HAB,AT33,2008,31900
A,PPS_EU27_2020_HAB,AT33,2009,31300
A,PPS_EU27_2020_HAB,AT33,2010,32100
A,PPS_EU27_2020_HAB,AT33,2011,33300
A,PPS_EU27_2020_HAB,AT33,2012,35000
A,PPS_EU27_2020_HAB,AT33,2013,35600
A,PPS_EU27_2020_HAB,AT33,2014,35700
A,PPS_EU27_2020_HAB,AT33,2015,37300
A,PPS_EU27_2020_HAB,AT33,2016,37900
A,PPS_EU27_2020_HAB,AT33,2017,38600
A,PPS_EU27_2020_HAB,AT33,2018,40100
A,PPS_EU27_2020_HAB,AT33,2019,41200
A,PPS_EU27_2020_HAB,AT33,2020,38500
A,PPS_EU27_2020_HAB,AT33,2021,39400
A,PPS_EU27_2020_HAB,AT33,2022,45900
A,PPS_EU27_2020_HAB,AT33,2023,47900
A,PPS_EU27_2020_HAB,AT34,2000,25100
A,PPS_EU27_2020_HAB,AT34,2001,25200
A,PPS_EU27_2020_HAB,AT34,2002,26200
A,PPS_EU27_2020_HAB,AT34,2003,26900
A,PPS_EU27_2020_HAB,AT34,2004,28200
A,PPS_EU27_2020_HAB,AT34,2005,29400
A,PPS_EU27_2020_HAB,AT34,2006,30700
A,PPS_EU27_2020_HAB,AT34,2007,32000
A,PPS_EU27_2020_HAB,AT34,2008,32700
A,PPS_EU27_2020_HAB,AT34,2009,31800
A,PPS_EU27_2020_HAB,AT34,2010,32500
A,PPS_EU27_2020_HAB,AT34,2011,34200
A,PPS_EU27_2020_HAB,AT34,2012,35200
A,PPS_EU27_2020_HAB,AT34,2013,36400
A,PPS_EU27_2020_HAB,AT34,2014,37300
A,PPS_EU27_2020_HAB,AT34,2015,39800
A,PPS_EU27_2020_HAB,AT34,2016,39200
A,PPS_EU27_2020_HAB,AT34,2017,40400
A,PPS_EU27_2020_HAB,AT34,2018,43100
A,PPS_EU27_2020_HAB,AT34,2019,41700
A,PPS_EU27_2020_HAB,AT34,2020,40000
A,PPS_EU27_2020_HAB,AT34,2021,45500
A,PPS_EU27_2020_HAB,AT34,2022,52700
A,PPS_EU27_2020_HAB,AT34,2023,48200
A,PPS_EU27_2020_HAB,BE,2000,23100
A,PPS_EU27_2020_HAB,BE,2001,23800
A,PPS_EU27_2020_HAB,BE,2002,24800
A,PPS_EU27_2020_HAB,BE,2003,25400
A,PPS_EU27_2020_HAB,BE,2004,26200
A,PPS_EU27_2020_HAB,BE,2005,27200
A,PPS_EU27_2020_HAB,BE,2006,28000
A,PPS_EU27_2020_HAB,BE,2007,29100
A,PPS_EU27_2020_HAB,BE,2008,29400
A,PPS_EU27_2020_HAB,BE,2009,28500
A,PPS_EU27_2020_HAB,BE,2010,30200
A,PPS_EU27_2020_HAB,BE,2011,30500
A,PPS_EU27_2020_HAB,BE,2012,31200
A,PPS_EU27_2020_HAB,BE,2013,31500
A,PPS_EU27_2020_HAB,BE,2014,32200
A,PPS_EU27_2020_HAB,BE,2015,33200
A,PPS_EU27_2020_HAB,BE,2016,33800
A,PPS_EU27_2020_HAB,BE,2017,34600
A,PPS_EU27_2020_HAB,BE,2018,35600
A,PPS_EU27_2020_HAB,BE,2019,36800
A,PPS_EU27_2020_HAB,BE,2020,35800
A,PPS_EU27_2020_HAB,BE,2021,38700
A,PPS_EU27_2020_HAB,BE,2022,42700
A,PPS_EU27_2020_HAB,BE,2023,44800
A,PPS_EU27_2020_HAB,BE1,2003,51500
A,PPS_EU27_2020_HAB,BE1,2004,52800
A,PPS_EU27_2020_HAB,BE1,2005,54000
A,PPS_EU27_2020_HAB,BE1,2006,55100
A,PPS_EU27_2020_HAB,BE1,2007,55800
A,PPS_EU27_2020_HAB,BE1,2008,55300
A,PPS_EU27_2020_HAB,BE1,2009,54100
A,PPS_EU27_2020_HAB,BE1,2010,56500
A,PPS_EU27_2020_HAB,BE1,2011,55700
A,PPS_EU27_2020_HAB,BE1,2012,56800
A,PPS_EU27_2020_HAB,BE1,2013,56800
A,PPS_EU27_2020_HAB,BE1,2014,57800
A,PPS_EU27_2020_HAB,BE1,2015,59400
A,PPS_EU27_2020_HAB,BE1,2016,59400
A,PPS_EU27_2020_HAB,BE1,2017,60600
A,PPS_EU27_2020_HAB,BE1,2018,61600
A,PPS_EU27_2020_HAB,BE1,2019,63400
A,PPS_EU27_2020_HAB,BE1,2020,61400
A,PPS_EU27_2020_HAB,BE1,2021,65400
A,PPS_EU27_2020_HAB,BE1,2022,69600
A,PPS_EU27_2020_HAB,BE1,2023,72700
A,PPS_EU27_2020_HAB,BE10,2003,51500
A,PPS_EU27_2020_HAB,BE10,2004,52800
A,PPS_EU27_2020_HAB,BE10,2005,54000
A,PPS_EU27_2020_HAB,BE10,2006,55100
A,PPS_EU27_2020_HAB,BE10,2007,55800
A,PPS_EU27_2020_HAB,BE10,2008,55300
A,PPS_EU27_2020_HAB,BE10,2009,54100
A,PPS_EU27_2020_HAB,BE10,2010,56500
