freq,unit,geo,time,obs_value
A,PPS_HAB_EU27_2020,AL,2008,25
A,PPS_HAB_EU27_2020,AL,2009,28
A,PPS_HAB_EU27_2020,AL,2010,29
A,PPS_HAB_EU27_2020,AL,2011,30
A,PPS_HAB_EU27_2020,AL,2012,30
A,PPS_HAB_EU27_2020,AL,2013,29
A,PPS_HAB_EU27_2020,AL,2014,30
A,PPS_HAB_EU27_2020,AL,2015,30
A,PPS_HAB_EU27_2020,AL,2016,30
A,PPS_HAB_EU27_2020,AL,2017,30
A,PPS_HAB_EU27_2020,AL,2018,30
A,PPS_HAB_EU27_2020,AL,2019,30
A,PPS_HAB_EU27_2020,AL,2020,31
A,PPS_HAB_EU27_2020,AL,2021,31
A,PPS_HAB_EU27_2020,AL0,2008,25
A,PPS_HAB_EU27_2020,AL0,2009,28
A,PPS_HAB_EU27_2020,AL0,2010,29
A,PPS_HAB_EU27_2020,AL0,2011,30
A,PPS_HAB_EU27_2020,AL0,2012,30
A,PPS_HAB_EU27_2020,AL0,2013,29
A,PPS_HAB_EU27_2020,AL0,2014,30
A,PPS_HAB_EU27_2020,AL0,2015,30
A,PPS_HAB_EU27_2020,AL0,2016,30
A,PPS_HAB_EU27_2020,AL0,2017,30
A,PPS_HAB_EU27_2020,AL0,2018,30
A,PPS_HAB_EU27_2020,AL0,2019,30
A,PPS_HAB_EU27_2020,AL0,2020,31
A,PPS_HAB_EU27_2020,AL0,2021,31
A,PPS_HAB_EU27_2020,AL01,2008,20
A,PPS_HAB_EU27_2020,AL01,2009,22
A,PPS_HAB_EU27_2020,AL01,2010,24
A,PPS_HAB_EU27_2020,AL01,2011,24
A,PPS_HAB_EU27_2020,AL01,2012,24
A,PPS_HAB_EU27_2020,AL01,2013,24
A,PPS_HAB_EU27_2020,AL01,2014,24
A,PPS_HAB_EU27_2020,AL01,2015,25
A,PPS_HAB_EU27_2020,AL01,2016,25
A,PPS_HAB_EU27_2020,AL01,2017,24
A,PPS_HAB_EU27_2020,AL01,2018,24
A,PPS_HAB_EU27_2020,AL01,2019,25
A,PPS_HAB_EU27_2020,AL01,2020,24
A,PPS_HAB_EU27_2020,AL01,2021,25
A,PPS_HAB_EU27_2020,AL02,2008,34
A,PPS_HAB_EU27_2020,AL02,2009,37
A,PPS_HAB_EU27_2020,AL02,2010,38
A,PPS_HAB_EU27_2020,AL02,2011,36
