STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2013,,4.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2014,,4.8,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2015,,5.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2016,,5.7,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2017,,5.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2018,,4.2,,u,low reliability,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2019,,3.6,,u,low reliability,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2020,,4.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2021,,5.1,,b,break in time series,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2022,,4.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2023,,5.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT11,Burgenland,2024,,4.9,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2013,,5.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2014,,5.1,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2015,,5.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2016,,5.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2017,,4.8,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2018,,3.8,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2019,,4.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2020,,4.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2021,,5.1,,b,break in time series,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2022,,4.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2023,,4.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT12,Niederösterreich,2024,,4.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2013,,9.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2014,,10.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2015,,10.6,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2016,,11.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2017,,10.4,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2018,,10.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2019,,9.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2020,,10.7,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2021,,12.1,,b,break in time series,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2022,,9.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2023,,9.6,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT13,Wien,2024,,9.4,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2013,,5.5,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2014,,6.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2015,,6.1,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2016,,5.4,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2017,,4.8,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2018,,4.1,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2019,,3.8,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2020,,4.7,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2021,,5.6,,b,break in time series,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2022,,4.5,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2023,,4.5,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT21,Kärnten,2024,,4.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2013,,4.7,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2014,,5.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2015,,4.7,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2016,,5.1,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2017,,4.5,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2018,,4.0,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2019,,3.2,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2020,,4.4,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2021,,4.3,,b,break in time series,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2022,,3.7,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2023,,4.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT22,Steiermark,2024,,4.4,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT31,Oberösterreich,2013,,4.3,,,,,
dataflow,ESTAT:TGS00010(1.0),Unemployment rate by NUTS 2 region,A,Annual,TOTAL,All ISCED 2011 levels,T,Total,Y15-74,From 15 to 74 years,PC,Percentage,AT31,Oberösterreich,2014,,4.1,,,,,
