STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sectperf,Sector of performance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT11,Burgenland,2013,,0.89,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT11,Burgenland,2015,,0.99,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT11,Burgenland,2017,,0.85,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT11,Burgenland,2019,,0.87,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT11,Burgenland,2021,,0.84,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT11,Burgenland,2023,,0.78,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT12,Niederösterreich,2013,,1.6,,b,break in time series,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT12,Niederösterreich,2015,,1.74,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT12,Niederösterreich,2017,,1.8,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT12,Niederösterreich,2019,,1.8,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT12,Niederösterreich,2021,,1.78,,,,,
dataflow,ESTAT:TGS00042(1.0),Intramural R&D expenditure (GERD) by NUTS 2 region,A,Annual,TOTAL,All sectors,PC_GDP,Percentage of gross domestic product (GDP),AT12,Niederösterreich,2023,,1.82,,,,,
