variable,dtype,n_obs,n_missing,missing_share,n_non_missing,min,median,max,mean,std
category_2014_2020,string,15920,15920,1,0,,,,,
emp_rate,Float64,15920,12176,0.7648241206,3744,27.9,68.6,86.6,66.75638355,10.02305288
erdf_eur,Int64,15920,0,0,15920,-7886577,0,1827088324,35813522.01,100327998.1
erdf_eur_pc,float64,15920,12823,0.8054648241,3097,-4.051954394,0,723.1318232,25.97725044,60.8091772
erdf_eur_pc_l1,float64,15920,13103,0.8230527638,2817,-4.051954394,0.4636250652,723.1318232,28.55929876,63.17960874
erdf_eur_pc_l2,float64,15920,13382,0.8405778894,2538,-4.051954394,3.008664089,723.1318232,31.69879614,65.81092793
erdf_eur_pc_l3,float64,15920,13680,0.8592964824,2240,-4.051954394,4.889008978,723.1318232,35.91586813,68.96373117
gdp_eur,Float64,15920,13059,0.8202889447,2861,119730000,3.186196e+10,8.600673e+11,5.378331349e+10,6.921571295e+10
gdp_mio_eur,Float64,15920,13059,0.8202889447,2861,119.73,31861.96,860067.3,53783.31349,69215.71295
gdp_pc,float64,15920,13671,0.8587311558,2249,2994.392728,27183.7377,120126.0619,28858.04253,18304.57682
gdp_pc_growth,float64,15920,13961,0.8769472362,1959,-35.63347212,4.644035204,36.62285129,4.673579741,7.058094528
gva,Float64,15920,13568,0.8522613065,2352,22.6,104.1,185.5,106.3622449,11.04199684
log_gdp_pc,float64,15920,13671,0.8587311558,2249,8.004496728,10.21037419,11.69629699,10.04199205,0.7254788055
population,Float64,15920,12823,0.8054648241,3097,28983,1488308,514055566,2749310.017,20550531.91
rd_gerd,Float64,15920,13610,0.8548994975,2310,0.06,1.165,9.73,1.448112554,1.154013084
tertiary_share_25_64,Float64,15920,12188,0.7655778894,3732,6.9,30,74.7,30.77746517,10.78012698
unemp_rate,Float64,15920,12212,0.7670854271,3708,1.2,6.5,36.2,8.113807983,5.728462509
