outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used
gdp_pc_real_growth,Model C,erdf_eur_pc_l1,0.01199928471,0.004849873994,2.474143602,0.01335560017,0.002493706354,0.02150486307,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,erdf_eur_pc_l2,0.007896706317,0.003778494578,2.089908071,0.03662605839,0.000490993028,0.01530241961,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,erdf_eur_pc_l3,-0.003085361199,0.00266496901,-1.157747496,0.2469670951,-0.008308604479,0.002137882081,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,unemp_rate,-0.623872895,0.1524667337,-4.091862402,4.279225504e-05,-0.9227022018,-0.3250435882,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,emp_rate,-0.2768537338,0.1210797144,-2.286541021,0.02222262716,-0.5141656133,-0.0395418543,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,tertiary_share_25_64,-0.297705093,0.1293734675,-2.301129426,0.02138431651,-0.5512724298,-0.04413775615,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,rd_gerd,-1.42745924,0.7234572778,-1.973107858,0.04848327521,-2.845409448,-0.009509030833,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_real_growth,Model C,gva,0.2077089803,0.05110049678,4.064715481,4.809109106e-05,0.107553847,0.3078641136,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,erdf_eur_pc_l1,0.006120331612,0.005807074736,1.053944006,0.2919085537,-0.005261325726,0.01750198895,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,erdf_eur_pc_l2,0.007235836311,0.004662484561,1.551927136,0.1206796591,-0.001902465506,0.01637413813,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,erdf_eur_pc_l3,-0.003995046861,0.003945228314,-1.012627545,0.311238098,-0.01172755227,0.003737458545,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,unemp_rate,-0.9604540241,0.1825699033,-5.260746742,1.434715329e-07,-1.318284459,-0.602623589,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,emp_rate,-0.3309792956,0.1989510872,-1.663621447,0.09618810313,-0.7209162612,0.05895766999,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,tertiary_share_25_64,-0.276698592,0.147143135,-1.880472317,0.06004373576,-0.5650938372,0.01169665316,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,rd_gerd,-2.005135145,0.913662567,-2.194612341,0.02819141756,-3.79588087,-0.2143894194,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_pps_growth,Model C,gva,0.1835740649,0.04800486945,3.824071745,0.0001312656906,0.08948624967,0.2776618801,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,erdf_eur_pc_l1,0.009875731839,0.005233985018,1.886847556,0.05918083265,-0.0003826902923,0.02013415397,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,erdf_eur_pc_l2,0.01399185081,0.00505241566,2.769338817,0.005617018913,0.004089298079,0.02389440354,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,erdf_eur_pc_l3,0.005599091043,0.003790945864,1.476964126,0.1396852539,-0.001831026318,0.0130292084,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,unemp_rate,-0.5202352827,0.1758756675,-2.957971902,0.003096703495,-0.8649452566,-0.1755253087,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,emp_rate,-0.1655475693,0.1820643366,-0.9092806003,0.3632020282,-0.5223871118,0.1912919733,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,tertiary_share_25_64,-0.1951864198,0.1487755007,-1.3119527,0.1895360945,-0.486781043,0.09640820334,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
gdp_pc_growth,Model C,rd_gerd,-0.9009122885,0.9433883209,-0.9549750284,0.3395903254,-2.749919421,0.9480948439,861,223,year,nuts2,2019,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
