outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,category_2014_2020
gdp_pc_real_growth,Model E (category subset),log_gdp_pc_real_l1,-102.4391439,1.725817825,-59.35686978,0,-105.8216847,-99.05660311,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),erdf_eur_pc_l1,-0.03575906533,0.02061403703,-1.734694921,0.08279485642,-0.07616183549,0.00464370482,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),erdf_eur_pc_l1:log_gdp_pc_real_l1,0.003762242285,0.002218064953,1.696182197,0.08985138097,-0.000585085139,0.008109569709,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),unemp_rate,-0.1094583018,0.03784152747,-2.89254449,0.003821350564,-0.1836263328,-0.03529027083,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),emp_rate,-0.003969613173,0.0386460728,-0.1027171168,0.9181874883,-0.07971452401,0.07177529766,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),tertiary_share_25_64,-0.04413366346,0.03738450057,-1.180533718,0.2377880081,-0.1174059382,0.02913861125,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),rd_gerd,0.4897052459,0.392548429,1.247502753,0.2122132115,-0.2796755372,1.259086029,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),gva,0.8199430359,0.01654071139,49.57120746,0,0.7875238373,0.8523622345,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_real_growth,Model E (category subset),log_gdp_pc_real_l1,-91.85330847,5.800258259,-15.83607218,1.754429645e-56,-103.2216058,-80.48501118,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),erdf_eur_pc_l1,0.1411559321,0.06738415954,2.094793985,0.03618931003,0.00908540628,0.2732264579,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),erdf_eur_pc_l1:log_gdp_pc_real_l1,-0.01379609032,0.006873835015,-2.007044145,0.04474496276,-0.02726855938,-0.0003236212528,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),unemp_rate,0.002947003887,0.2365506479,0.01245823638,0.9900600227,-0.4606837465,0.4665777543,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),emp_rate,0.009139620637,0.1625435056,0.05622876535,0.955159566,-0.3094397963,0.3277190376,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),tertiary_share_25_64,-0.2119481336,0.07442579731,-2.847777804,0.004402565081,-0.3578200159,-0.06607625139,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),rd_gerd,0.151839454,0.4853390659,0.3128523227,0.7543928615,-0.7994076354,1.103086543,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),gva,0.7230954894,0.07770414019,9.305752405,1.330469538e-20,0.5707981732,0.8753928056,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_real_growth,Model E (category subset),log_gdp_pc_real_l1,-108.2325362,2.367695538,-45.71218491,0,-112.8731342,-103.5919383,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),erdf_eur_pc_l1,-0.02464239598,0.06532347123,-0.3772364743,0.7059978766,-0.1526740469,0.103389255,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),erdf_eur_pc_l1:log_gdp_pc_real_l1,0.002259768429,0.006427618337,0.351571657,0.7251595243,-0.01033813202,0.01485766888,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),unemp_rate,-0.08005989742,0.07949942104,-1.007050069,0.3139107141,-0.2358758995,0.07575610461,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),emp_rate,0.08024665882,0.06698637737,1.197954897,0.2309345762,-0.05104422829,0.2115375459,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),tertiary_share_25_64,0.05658843844,0.0399486317,1.41653008,0.1566203637,-0.02170944092,0.1348863178,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),rd_gerd,0.291414681,0.2695408765,1.081152086,0.2796294672,-0.2368757293,0.8197050912,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
