model,key_term,coef,std_err,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,outlier_rule,outlier_threshold,balanced_window_start,balanced_window_end,balanced_regions
Model A,erdf_eur_pc_l1,0.002074502476,0.00365687657,0.5705184765,-0.005092843897,0.009241848848,1175,223,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model A (balanced panel),erdf_eur_pc_l1,0.0008311117213,0.003698075539,0.8221802355,-0.006416983147,0.008079206589,805,115,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model A (outliers excluded),erdf_eur_pc_l1,0.001565638092,0.003752373574,0.6765033104,-0.005788878971,0.008920155154,1156,223,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model A (scaled treatment),erdf_k_eur_pc_l1,2.074502476,3.65687657,0.5705184765,-5.092843897,9.241848848,1175,223,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model A (two-way cluster),erdf_eur_pc_l1,0.002074502476,0.004853817178,0.669090856,-0.00743880438,0.01158780933,1175,223,year,nuts2_country,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model B,erdf_eur_pc_l1,0.003646392781,0.00418338627,0.3834066317,-0.004552893641,0.0118456792,1175,223,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model B (balanced panel),erdf_eur_pc_l1,0.003035054894,0.004288180223,0.4790867121,-0.005369623903,0.01143973369,805,115,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model B (outliers excluded),erdf_eur_pc_l1,0.003613829002,0.004559577614,0.4280226958,-0.005322778906,0.01255043691,1156,223,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model B (scaled treatment),erdf_k_eur_pc_l1,3.646392781,4.18338627,0.3834066317,-4.552893641,11.8456792,1175,223,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model B (two-way cluster),erdf_eur_pc_l1,0.003646392781,0.005674903019,0.5205179832,-0.007476212751,0.01476899831,1175,223,country_year,nuts2_country,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model C,erdf_eur_pc_l1,0.009875731839,0.005233985018,0.05918083265,-0.0003826902923,0.02013415397,861,223,year,nuts2,2019,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model D,log_gdp_pc_l1,-33.49632457,2.507913991,1.08915333e-40,-38.41174567,-28.58090347,1959,285,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model E,erdf_eur_pc_l1,0.06878779646,0.07204023311,0.3396522952,-0.07240846588,0.2099840588,1175,223,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
Model E (country-year FE),erdf_eur_pc_l1,0.008530995287,0.04390131737,0.8459236982,-0.07751400564,0.09457599621,1175,223,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
