outcome,model,key_term,coef,std_err,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,outlier_rule,outlier_threshold,balanced_window_start,balanced_window_end,balanced_regions
gdp_pc_growth,Model A,erdf_eur_pc_l1,0.002074502476,0.00365687657,0.5705184765,-0.005092843897,0.009241848848,1175,223,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_growth,Model A (two-way cluster),erdf_eur_pc_l1,0.002074502476,0.004853817178,0.669090856,-0.00743880438,0.01158780933,1175,223,year,nuts2_country,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_growth,Model B,erdf_eur_pc_l1,0.003646392781,0.00418338627,0.3834066317,-0.004552893641,0.0118456792,1175,223,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_growth,Model B (two-way cluster),erdf_eur_pc_l1,0.003646392781,0.005674903019,0.5205179832,-0.007476212751,0.01476899831,1175,223,country_year,nuts2_country,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_growth,Model C,erdf_eur_pc_l1,0.009875731839,0.005233985018,0.05918083265,-0.0003826902923,0.02013415397,861,223,year,nuts2,2019,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_pps_growth,Model A,erdf_eur_pc_l1,0.002522470735,0.003616793691,0.4855319487,-0.004566314638,0.009611256108,1175,223,year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_pps_growth,Model A (two-way cluster),erdf_eur_pc_l1,0.002522470735,0.005922516468,0.6701719826,-0.009085448239,0.01413038971,1175,223,year,nuts2_country,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_pps_growth,Model B,erdf_eur_pc_l1,0.001133896896,0.002850730732,0.690809629,-0.004453432668,0.00672122646,1175,223,country_year,nuts2,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_pps_growth,Model B (two-way cluster),erdf_eur_pc_l1,0.001133896896,0.004032923926,0.7785876821,-0.006770488751,0.009038282543,1175,223,country_year,nuts2_country,2017,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
gdp_pc_pps_growth,Model C,erdf_eur_pc_l1,0.006120331612,0.005807074736,0.2919085537,-0.005261325726,0.01750198895,861,223,year,nuts2,2019,2023,drop global top 1% erdf_eur_pc,264.108343,2017,2023,115
