model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,balanced_window_start,balanced_window_end,balanced_regions
Model A (balanced panel),erdf_eur_pc_l1,0.0008311117213,0.003698075539,0.2247416832,0.8221802355,-0.006416983147,0.008079206589,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model A (balanced panel),unemp_rate,-0.6533427323,0.1364604793,-4.787779842,1.686364966e-06,-0.9208003571,-0.3858851074,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model A (balanced panel),emp_rate,-0.09100714483,0.1225348764,-0.7427040165,0.4576608975,-0.3311710893,0.1491567997,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model A (balanced panel),tertiary_share_25_64,-0.05473886686,0.1220715376,-0.4484162968,0.6538527825,-0.2939946842,0.1845169505,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model A (balanced panel),rd_gerd,-0.6186432356,0.9419242569,-0.6567866058,0.5113181379,-2.464780855,1.227494384,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model A (balanced panel),gva,0.08655965801,0.03022294695,2.864037652,0.004182782891,0.02732377048,0.1457955455,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model B (balanced panel),erdf_eur_pc_l1,0.003035054894,0.004288180223,0.7077722333,0.4790867121,-0.005369623903,0.01143973369,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model B (balanced panel),unemp_rate,-0.1523675611,0.1769004117,-0.8613182959,0.3890627617,-0.4990859969,0.1943508746,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model B (balanced panel),emp_rate,-0.06102784513,0.1699558681,-0.3590805414,0.7195348379,-0.3941352255,0.2720795353,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model B (balanced panel),tertiary_share_25_64,-0.1253552047,0.1062755319,-1.17953025,0.2381870986,-0.3336514198,0.08294101027,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model B (balanced panel),rd_gerd,-0.9404956889,0.8703152277,-1.080637979,0.2798581814,-2.64628219,0.7652908125,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
Model B (balanced panel),gva,0.1455172939,0.04548154004,3.199480355,0.001376755697,0.05637511343,0.2346594743,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
