outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,balanced_window_start,balanced_window_end,balanced_regions
gdp_pc_real_growth,Model A (balanced panel),erdf_eur_pc_l1,0.005542239342,0.003063197357,1.809298813,0.07040459328,-0.0004615171546,0.01154599584,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model A (balanced panel),unemp_rate,-0.7071828573,0.1014603297,-6.970042964,3.168442085e-12,-0.9060414494,-0.5083242652,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model A (balanced panel),emp_rate,-0.2608192304,0.1062602931,-2.454531442,0.01410683274,-0.4690855779,-0.05255288297,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model A (balanced panel),tertiary_share_25_64,-0.1789671143,0.1079307166,-1.658166646,0.09728383497,-0.3905074316,0.03257320301,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model A (balanced panel),rd_gerd,-1.209817186,0.9918383046,-1.219772599,0.2225510916,-3.153784542,0.7341501693,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model A (balanced panel),gva,0.1318801195,0.04273856593,3.085740401,0.00203046012,0.04811406958,0.2156461695,805,115,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model B (balanced panel),erdf_eur_pc_l1,0.002714952064,0.003028987785,0.8963232131,0.3700801648,-0.003221754904,0.008651659032,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model B (balanced panel),unemp_rate,-0.08024400394,0.1062991339,-0.7548885962,0.4503158287,-0.2885864779,0.12809847,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model B (balanced panel),emp_rate,-0.05528006434,0.1334201873,-0.4143305856,0.6786320173,-0.3167788263,0.2062186976,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model B (balanced panel),tertiary_share_25_64,-0.09903676786,0.124359656,-0.7963737681,0.4258148205,-0.3427772148,0.1447036791,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model B (balanced panel),rd_gerd,0.1856151204,1.046946069,0.1772919598,0.8592790659,-1.866361469,2.23759171,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
gdp_pc_real_growth,Model B (balanced panel),gva,0.1646853171,0.05495043224,2.996979466,0.002726690791,0.05698444894,0.2723861852,805,115,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",2017,2023,115
