outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,outlier_rule,erdf_eur_pc_global_p99
gdp_pc_real_growth,Model A (outliers excluded),erdf_eur_pc_l1,0.006323652464,0.003033019908,2.084936023,0.03707510828,0.0003790426793,0.01226826225,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model A (outliers excluded),unemp_rate,-0.6262448593,0.08408384991,-7.44786139,9.486541094e-14,-0.7910461768,-0.4614435418,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model A (outliers excluded),emp_rate,-0.2722061066,0.09908609465,-2.747167577,0.006011241179,-0.4664112834,-0.07800092967,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model A (outliers excluded),tertiary_share_25_64,-0.1885223044,0.09452185,-1.994483861,0.04609920193,-0.3737817261,-0.003262882616,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model A (outliers excluded),rd_gerd,-0.7941671538,0.5481308044,-1.448864299,0.1473754829,-1.868483789,0.2801494817,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model A (outliers excluded),gva,0.1378728063,0.03551228376,3.88239763,0.0001034315639,0.06827000913,0.2074756035,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model B (outliers excluded),erdf_eur_pc_l1,0.003255756363,0.002983911772,1.091103428,0.2752273746,-0.002592603242,0.009104115969,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model B (outliers excluded),unemp_rate,-0.01627595091,0.1061540499,-0.153323881,0.878142869,-0.2243340655,0.1917821637,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model B (outliers excluded),emp_rate,-0.04630216036,0.1239415701,-0.3735805534,0.7087164042,-0.289223174,0.1966188533,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model B (outliers excluded),tertiary_share_25_64,-0.09105060014,0.1058548017,-0.8601461503,0.3897084842,-0.298522199,0.1164209987,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model B (outliers excluded),rd_gerd,-0.5216613594,0.6185693964,-0.8433352223,0.3990409892,-1.734035098,0.6907123795,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
gdp_pc_real_growth,Model B (outliers excluded),gva,0.2181307659,0.06620618695,3.294718755,0.00098520229,0.08836902388,0.3478925078,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
