model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used
Model A,erdf_eur_pc_l1,0.002074502476,0.00365687657,0.5672880766,0.5705184765,-0.005092843897,0.009241848848,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A,unemp_rate,-0.6406691583,0.1215391145,-5.271300198,1.354606977e-07,-0.8788814455,-0.4024568712,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A,emp_rate,-0.1634892581,0.1263921748,-1.293507754,0.1958355041,-0.4112133685,0.0842348524,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A,tertiary_share_25_64,-0.1666889687,0.107355396,-1.552683656,0.1204987288,-0.3771016784,0.04372374093,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A,rd_gerd,-0.5695753587,0.6065081259,-0.9391058987,0.347676376,-1.758309442,0.6191587245,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A,gva,0.1193434594,0.03073186437,3.883378438,0.0001030150452,0.0591101121,0.1795768068,1175,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B,erdf_eur_pc_l1,0.003646392781,0.00418338627,0.871636647,0.3834066317,-0.004552893641,0.0118456792,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B,unemp_rate,-0.05820675813,0.1656585211,-0.3513659166,0.7253138489,-0.3828914933,0.266477977,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B,emp_rate,-0.04216565734,0.1480656333,-0.2847768007,0.775815147,-0.332368966,0.2480376513,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B,tertiary_share_25_64,-0.1187610607,0.08914702447,-1.33219321,0.1827967071,-0.293486018,0.05596389657,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B,rd_gerd,-0.6869996491,0.5941152697,-1.15634067,0.2475418391,-1.85144418,0.4774448821,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B,gva,0.2002048319,0.05347405993,3.743961693,0.0001811412824,0.09539760037,0.3050120635,1175,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A (two-way cluster),erdf_eur_pc_l1,0.002074502476,0.004853817178,0.4273960884,0.669090856,-0.00743880438,0.01158780933,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A (two-way cluster),unemp_rate,-0.6406691583,0.1382166561,-4.635252916,3.565013261e-06,-0.9115688264,-0.3697694903,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A (two-way cluster),emp_rate,-0.1634892581,0.1362844945,-1.199617452,0.2302879456,-0.430601959,0.1036234429,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A (two-way cluster),tertiary_share_25_64,-0.1666889687,0.1643543309,-1.014204906,0.3104849882,-0.4888175381,0.1554396006,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A (two-way cluster),rd_gerd,-0.5695753587,0.4154190933,-1.371086134,0.1703481069,-1.38378182,0.2446311028,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model A (two-way cluster),gva,0.1193434594,0.04729651307,2.523303552,0.01162579973,0.02664399722,0.2120429217,1175,223,year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B (two-way cluster),erdf_eur_pc_l1,0.003646392781,0.005674903019,0.6425471535,0.5205179832,-0.007476212751,0.01476899831,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
Model B (two-way cluster),unemp_rate,-0.05820675813,0.1160855792,-0.5014124797,0.6160808587,-0.2857303125,0.1693167962,1175,223,country_year,nuts2_country,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva"
